prefix,next_char,count,prob
'an,t,1,1
'hr,i,1,1
^^^,a,3506,0.03557693283407917
^^^,b,8278,0.08400052766700153
^^^,c,625,0.006342151460724324
^^^,d,3738,0.03793113945630004
^^^,e,3738,0.03793113945630004
^^^,f,3034,0.03078734005094016
^^^,g,5843,0.05929150557601957
^^^,h,9444,0.09583244543212883
^^^,i,836,0.008483261793864856
^^^,j,876,0.008889159487351214
^^^,k,7630,0.07742498503252256
^^^,l,4645,0.04713486965610318
^^^,m,4743,0.048129319005144756
^^^,n,3370,0.03419688067622556
^^^,o,3566,0.0361857793743087
^^^,p,3275,0.03323287365419546
^^^,q,206,0.0020903731214547373
^^^,r,5525,0.05606461891280303
^^^,s,11619,0.11790313251544948
^^^,t,2784,0.028250479466650432
^^^,u,1883,0.019107633920870244
^^^,v,1475,0.014967477447309406
^^^,w,6529,0.06625265101931058
^^^,x,5,5.07372116857946e-5
^^^,y,6,6.088465402295351e-5
^^^,z,1368,0.013881701117233402
^^a,a,42,0.011979463776383342
^^a,b,146,0.04164289788933257
^^a,c,124,0.03536794067313177
^^a,d,146,0.04164289788933257
^^a,e,9,0.002567027952082145
^^a,f,39,0.011123787792355962
^^a,g,30,0.008556759840273816
^^a,h,162,0.04620650313747861
^^a,i,129,0.03679406731317741
^^a,j,1,2.852253280091272e-4
^^a,k,15,0.004278379920136908
^^a,l,1121,0.3197375926982316
^^a,m,206,0.058756417569880204
^^a,n,265,0.07558471192241871
^^a,p,112,0.03194523673702225
^^a,r,267,0.07615516257843696
^^a,s,195,0.05561893896177981
^^a,t,90,0.02567027952082145
^^a,u,355,0.10125499144324016
^^a,v,25,0.00713063320022818
^^a,w,2,5.704506560182544e-4
^^a,x,15,0.004278379920136908
^^a,y,6,0.0017113519680547634
^^a,z,4,0.0011409013120365088
^^b,a,1176,0.14206330031408554
^^b,b,14,0.0016912297656438754
^^b,c,91,0.010992993476685189
^^b,d,30,0.00362406378352259
^^b,e,1504,0.1816863976805992
^^b,f,3,3.62406378352259e-4
^^b,g,18,0.002174438270113554
^^b,h,86,0.01038898284609809
^^b,i,831,0.10038656680357574
^^b,k,21,0.002536844648465813
^^b,l,508,0.061367480067649194
^^b,m,10,0.0012080212611741967
^^b,n,47,0.005677699927518725
^^b,o,969,0.11705726020777965
^^b,p,3,3.62406378352259e-4
^^b,r,1846,0.2230007248127567
^^b,s,89,0.01075138922445035
^^b,t,64,0.007731336071514858
^^b,u,955,0.11536603044213578
^^b,v,3,3.62406378352259e-4
^^b,x,3,3.62406378352259e-4
^^b,y,7,8.456148828219377e-4
^^c,a,159,0.2544
^^c,c,3,0.0048
^^c,e,10,0.016
^^c,h,129,0.2064
^^c,i,8,0.0128
^^c,k,8,0.0128
^^c,l,65,0.104
^^c,m,1,0.0016
^^c,o,127,0.2032
^^c,p,1,0.0016
^^c,r,83,0.1328
^^c,s,1,0.0016
^^c,t,1,0.0016
^^c,u,23,0.0368
^^c,y,4,0.0064
^^c,z,2,0.0032
^^d,a,596,0.15944355270197966
^^d,b,41,0.010968432316746924
^^d,c,11,0.0029427501337613697
^^d,d,8,0.002140181915462814
^^d,e,657,0.17576243980738362
^^d,f,9,0.002407704654895666
^^d,g,10,0.002675227394328518
^^d,h,32,0.008560727661851257
^^d,i,681,0.18218298555377208
^^d,k,4,0.001070090957731407
^^d,l,38,0.010165864098448368
^^d,m,31,0.008293204922418406
^^d,n,75,0.020064205457463884
^^d,o,492,0.13162118780096307
^^d,p,15,0.0040128410914927765
^^d,r,705,0.18860353130016053
^^d,s,57,0.015248796147672551
^^d,t,36,0.009630818619582664
^^d,u,200,0.05350454788657036
^^d,v,7,0.0018726591760299626
^^d,w,23,0.006153023006955591
^^d,y,10,0.002675227394328518
^^e,a,1,2.6752273943285177e-4
^^e,b,190,0.05082932049224184
^^e,c,212,0.05671482075976458
^^e,d,120,0.03210272873194221
^^e,e,6,0.0016051364365971107
^^e,f,26,0.006955591225254147
^^e,g,196,0.052434456928838954
^^e,h,119,0.031835205992509365
^^e,i,715,0.19127875869448904
^^e,j,1,2.6752273943285177e-4
^^e,k,19,0.005082932049224184
^^e,l,510,0.13643659711075443
^^e,m,148,0.03959336543606207
^^e,n,399,0.10674157303370786
^^e,p,59,0.015783841626538255
^^e,q,2,5.350454788657035e-4
^^e,r,400,0.10700909577314072
^^e,s,282,0.0754414125200642
^^e,t,117,0.03130016051364366
^^e,u,109,0.029159978598180845
^^e,v,48,0.012841091492776886
^^e,w,12,0.0032102728731942215
^^e,x,20,0.005350454788657036
^^e,y,25,0.006688068485821295
