prefix,next_char,count,prob
'aa,$,1,1
'ab,a,1,0.16666666666666666
'ab,b,3,0.5
'ab,e,1,0.16666666666666666
'ab,s,1,0.16666666666666666
'ad,r,4,1
'af,f,1,1
'ag,$,1,0.1
'ag,a,2,0.2
'ag,e,1,0.1
'ag,i,1,0.1
'ag,n,3,0.3
'ag,o,1,0.1
'ag,r,1,0.1
'ai,g,5,0.5
'ai,l,1,0.1
'ai,r,4,0.4
'al,a,1,0.03571428571428571
'al,b,5,0.17857142857142858
'al,e,1,0.03571428571428571
'al,g,1,0.03571428571428571
'al,i,4,0.14285714285714285
'al,l,9,0.32142857142857145
'al,m,1,0.03571428571428571
'al,p,2,0.07142857142857142
'al,s,1,0.03571428571428571
'al,t,2,0.07142857142857142
'al,u,1,0.03571428571428571
'am,a,1,0.2
'am,b,1,0.2
'am,i,2,0.4
'am,l,1,0.2
'an,c,2,0.09090909090909091
'an,d,3,0.13636363636363635
'an,e,1,0.045454545454545456
'an,g,11,0.5
'an,j,1,0.045454545454545456
'an,n,1,0.045454545454545456
'an,s,1,0.045454545454545456
'an,t,2,0.09090909090909091
'ap,p,1,1
'ar,a,3,0.06666666666666667
'ar,b,8,0.17777777777777778
'ar,c,8,0.17777777777777778
'ar,d,3,0.06666666666666667
'ar,f,2,0.044444444444444446
'ar,g,5,0.1111111111111111
'ar,i,3,0.06666666666666667
'ar,m,3,0.06666666666666667
'ar,n,3,0.06666666666666667
'ar,o,1,0.022222222222222223
'ar,p,1,0.022222222222222223
'ar,r,1,0.022222222222222223
'ar,s,1,0.022222222222222223
'ar,t,3,0.06666666666666667
'as,n,1,0.5
'as,t,1,0.5
'at,e,1,0.5
'at,r,1,0.5
'au,b,17,0.40476190476190477
'au,d,1,0.023809523809523808
'au,g,5,0.11904761904761904
'au,l,1,0.023809523809523808
'au,m,5,0.11904761904761904
'au,n,3,0.07142857142857142
'au,p,1,0.023809523809523808
'au,r,2,0.047619047619047616
'au,s,1,0.023809523809523808
'au,t,4,0.09523809523809523
'au,v,1,0.023809523809523808
'au,z,1,0.023809523809523808
'av,a,1,0.16666666666666666
'av,e,4,0.6666666666666666
'av,o,1,0.16666666666666666
'ay,g,1,1
'az,e,1,1
'ba,u,1,1
'be,a,1,1
'ca,i,1,0.5
'ca,n,1,0.5
'ch,a,7,0.7
'ch,e,2,0.2
'ch,o,1,0.1
'cl,a,1,0.3333333333333333
'cl,o,1,0.3333333333333333
'cl,u,1,0.3333333333333333
'co,l,2,0.2222222222222222
'co,n,1,0.1111111111111111
'co,t,3,0.3333333333333333
'co,u,3,0.3333333333333333
'cr,e,1,1
'cu,l,1,0.5
'cu,t,1,0.5
'eb,a,1,1
'ec,l,3,0.75
'ec,u,1,0.25
'el,i,1,1
'em,b,2,0.4
'em,p,3,0.6
'en,c,2,0.2
'en,f,3,0.3
'en,g,2,0.2
'en,s,2,0.2
'en,v,1,0.1
'ep,a,3,0.6
'ep,r,1,0.2
'ep,t,1,0.2
'eq,u,1,1
'er,m,3,0.75
'er,r,1,0.25
'es,c,13,0.3023255813953488
'es,l,1,0.023255813953488372
'es,p,10,0.23255813953488372
'es,s,3,0.06976744186046512
'es,t,16,0.37209302325581395
'et,o,1,0.5
'et,r,1,0.5
'eu,r,1,1
'ex,p,1,1
'ey,p,1,0.3333333333333333
'ey,s,1,0.3333333333333333
'ey,t,1,0.3333333333333333
'ga,l,2,0.6666666666666666
'ga,y,1,0.3333333333333333
'ge,$,1,1
'gl,i,1,1
'gr,e,1,1
'gu,i,1,1
'ha,b,2,0.16666666666666666
'ha,c,1,0.08333333333333333
'ha,l,3,0.25
'ha,n,2,0.16666666666666666
'ha,r,3,0.25
'ha,u,1,0.08333333333333333
'he,r,19,0.8636363636363636
'he,u,3,0.13636363636363635
'hf,i,1,1
'hi,p,1,0.5
'hi,v,1,0.5
'hl,e,2,1
'hn,i,1,1
'ho,a,1,0.047619047619047616
'ho,d,1,0.047619047619047616
'ho,g,1,0.047619047619047616
'ho,m,5,0.23809523809523808
'ho,p,1,0.047619047619047616
'ho,r,4,0.19047619047619047
'ho,s,4,0.19047619047619047
'ho,t,2,0.09523809523809523
'ho,u,2,0.09523809523809523
'hp,i,3,1
'ht,e,2,0.6666666666666666
'ht,i,1,0.3333333333333333
'hu,b,1,0.25
'hu,i,3,0.75
'id,e,1,1
'il,a,1,0.5
'il,u,1,0.5
'im,m,1,0.3333333333333333
'im,p,2,0.6666666666666666
'in,c,2,0.5
'in,g,1,0.25
'in,t,1,0.25
'is,c,1,0.16666666666666666
'is,l,2,0.3333333333333333
'is,o,1,0.16666666666666666
'is,t,1,0.16666666666666666
'is,u,1,0.16666666666666666
'la,n,2,1
'le,$,1,0.5
'le,t,1,0.5
'lo,t,1,1
'lu,i,1,1
'ma,t,1,1
'me,r,1,1
'na,n,1,0.5
'na,u,1,0.5
'ne,r,1,1
'oa,s,1,1
'ob,s,1,1
'oc,c,1,1
'od,i,1,1
'oi,e,1,0.14285714285714285
'oi,s,5,0.7142857142857143
'oi,z,1,0.14285714285714285
'ol,e,1,0.14285714285714285
'ol,i,3,0.42857142857142855
'ol,l,1,0.14285714285714285
'ol,m,1,0.14285714285714285
'ol,y,1,0.14285714285714285
'on,g,1,1
'or,a,1,0.07142857142857142
'or,b,2,0.14285714285714285
'or,c,2,0.14285714285714285
'or,e,1,0.07142857142857142
'or,m,5,0.35714285714285715
'or,s,1,0.07142857142857142
'or,v,2,0.14285714285714285
'os,e,1,0.2
'os,i,1,0.2
'os,p,2,0.4
'os,t,1,0.2
'ou,c,4,0.36363636363636365
'ou,d,1,0.09090909090909091
'ou,i,1,0.09090909090909091
'ou,r,3,0.2727272727272727
'ou,v,2,0.18181818181818182
'oz,o,1,1
'pa,i,1,0.25
'pa,r,1,0.25
'pa,u,2,0.5
'pe,r,2,1
'pi,n,9,1
'po,i,1,1
'ra,b,1,0.5
'ra,u,1,0.5
're,l,1,1
'ro,f,1,1
'ta,n,1,0.3333333333333333
'ta,p,1,0.3333333333333333
'ta,t,1,0.3333333333333333
'te,l,1,1
'to,i,1,0.25
'to,l,1,0.25
'to,q,1,0.25
'to,r,1,0.25
'tr,a,3,0.75
'tr,e,1,0.25
'tu,i,1,1
'ub,a,1,1
'uf,$,1,1
'uj,a,1,1
'un,i,1,1
'ur,s,1,1
'us,a,1,0.5
'us,i,1,0.5
'ut,i,1,1
've,n,1,1
'vq,u,1,1
'ye,r,1,0.5
'ye,u,1,0.5
^^^,a,2175,0.056770724577155984
^^^,b,3948,0.10304865316349969
^^^,c,4953,0.1292806431405304
^^^,d,940,0.02453539361035707
^^^,e,670,0.017487993318020464
^^^,f,1467,0.038290874921695556
^^^,g,1764,0.04604301524326582
^^^,h,892,0.023282522447275005
^^^,i,253,0.006603675088745041
^^^,j,474,0.012372102735435373
^^^,k,888,0.023178116517018166
^^^,l,3356,0.08759657548548758
^^^,m,3878,0.10122154938400502
^^^,n,722,0.018845270411359364
^^^,o,662,0.017279181457506787
^^^,p,2585,0.06747233242848194
^^^,q,218,0.005690123198997703
^^^,r,1734,0.04525997076633953
^^^,s,2171,0.056666318646899146
^^^,t,1779,0.04643453748172896
^^^,u,141,0.00368030904155356
^^^,v,2248,0.058676132804343285
^^^,w,241,0.0062904572979745246
^^^,x,23,6.003340989768219e-4
^^^,y,69,0.0018010022969304656
^^^,z,61,0.0015921904364167884
^^a,a,2,9.195402298850574e-4
^^a,b,48,0.022068965517241378
^^a,c,37,0.017011494252873564
^^a,d,17,0.007816091954022988
^^a,e,1,4.597701149425287e-4
^^a,f,9,0.004137931034482759
^^a,g,56,0.02574712643678161
^^a,h,8,0.0036781609195402297
^^a,i,102,0.04689655172413793
^^a,j,12,0.005517241379310344
^^a,k,1,4.597701149425287e-4
^^a,l,251,0.11540229885057471
^^a,m,143,0.06574712643678161
^^a,n,298,0.13701149425287357
^^a,o,5,0.0022988505747126436
^^a,p,27,0.012413793103448275
^^a,q,3,0.001379310344827586
^^a,r,464,0.21333333333333335
^^a,s,79,0.03632183908045977
^^a,t,36,0.016551724137931035
^^a,u,405,0.18620689655172415
^^a,v,114,0.05241379310344828
^^a,w,1,4.597701149425287e-4
^^a,x,2,9.195402298850574e-4
^^a,y,27,0.012413793103448275
^^a,z,27,0.012413793103448275
^^b,a,714,0.18085106382978725
^^b,b,1,2.5329280648429586e-4
^^b,c,19,0.0048125633232016215
^^b,d,12,0.00303951367781155
^^b,e,772,0.1955420466058764
^^b,g,15,0.003799392097264438
^^b,h,10,0.0025329280648429585
^^b,i,258,0.06534954407294832
^^b,l,197,0.04989868287740628
^^b,m,2,5.065856129685917e-4
^^b,n,27,0.006838905775075988
^^b,o,984,0.24924012158054712
^^b,q,2,5.065856129685917e-4
^^b,r,647,0.16388044579533942
^^b,s,6,0.001519756838905775
^^b,t,20,0.005065856129685917
^^b,u,244,0.06180344478216818
^^b,v,4,0.0010131712259371835
^^b,y,1,2.5329280648429586e-4
^^b,z,13,0.003292806484295846
^^c,a,935,0.1887744801130628
^^c,b,3,6.056935190793458e-4
^^c,d,1,2.018978396931153e-4
