prefix,next_char,count,prob
'ch,a,1,0.5
'ch,i,1,0.5
'co,v,1,1
'ha,r,1,1
'hy,d,1,1
'ne,s,1,1
'r',h,1,1
'ri,a,1,1
'zz,a,1,1
^^^,a,1205,0.04842274462527627
^^^,b,2850,0.11452682338758288
^^^,c,2698,0.10841872614024513
^^^,d,1057,0.04247538677918425
^^^,e,625,0.02511553144464537
^^^,f,836,0.03359453486035765
^^^,g,1174,0.04717701426562186
^^^,h,1593,0.06401446654611212
^^^,i,316,0.012698412698412698
^^^,j,47,0.0018886879646373318
^^^,k,824,0.033112316656620455
^^^,l,1583,0.0636126180429978
^^^,m,1289,0.05179827205143661
^^^,n,492,0.019770946353224836
^^^,o,377,0.015149688567410086
^^^,p,1244,0.049989953787422145
^^^,q,75,0.0030138637733574444
^^^,r,1028,0.0413100261201527
^^^,s,2313,0.09294755877034358
^^^,t,1373,0.055173799477596944
^^^,u,168,0.006751054852320675
^^^,v,77,0.0030942334739803095
^^^,w,1504,0.06043801486839462
^^^,y,133,0.005344585091420534
^^^,z,4,1.6073940124573035e-4
^^a,',2,0.0016597510373443983
^^a,a,2,0.0016597510373443983
^^a,b,120,0.0995850622406639
^^a,c,94,0.07800829875518672
^^a,d,47,0.03900414937759336
^^a,f,3,0.0024896265560165973
^^a,g,11,0.009128630705394191
^^a,h,2,0.0016597510373443983
^^a,i,44,0.036514522821576766
^^a,k,6,0.004979253112033195
^^a,l,215,0.17842323651452283
^^a,m,38,0.03153526970954357
^^a,n,79,0.06556016597510374
^^a,o,1,8.298755186721991e-4
^^a,p,28,0.023236514522821577
^^a,q,2,0.0016597510373443983
^^a,r,208,0.17261410788381742
^^a,s,115,0.0954356846473029
^^a,t,25,0.02074688796680498
^^a,u,104,0.08630705394190871
^^a,v,19,0.015767634854771784
^^a,w,5,0.004149377593360996
^^a,x,7,0.005809128630705394
^^a,y,26,0.021576763485477178
^^a,z,2,0.0016597510373443983
^^b,a,613,0.2150877192982456
^^b,e,410,0.14385964912280702
^^b,h,6,0.002105263157894737
^^b,i,222,0.07789473684210527
^^b,l,234,0.08210526315789474
^^b,o,341,0.11964912280701755
^^b,r,679,0.23824561403508773
^^b,u,314,0.11017543859649123
^^b,w,7,0.002456140350877193
^^b,y,24,0.008421052631578947
^^c,a,635,0.23535952557449963
^^c,e,55,0.020385470719051148
^^c,h,383,0.1419570051890289
^^c,i,32,0.011860637509266123
^^c,l,272,0.10081541882876205
^^c,n,4,0.0014825796886582653
^^c,o,606,0.2246108228317272
^^c,r,487,0.18050407709414382
^^c,u,154,0.05707931801334322
^^c,w,51,0.018902891030392884
^^c,y,19,0.007042253521126761
^^d,a,183,0.17313150425733206
^^d,d,3,0.002838221381267739
^^d,e,160,0.15137180700094607
^^d,h,2,0.001892147587511826
^^d,i,95,0.08987701040681173
^^d,o,180,0.17029328287606432
^^d,r,153,0.14474929044465468
^^d,u,259,0.24503311258278146
^^d,w,4,0.003784295175023652
^^d,y,18,0.017029328287606435
^^e,a,113,0.1808
^^e,b,11,0.0176
^^e,c,16,0.0256
^^e,d,83,0.1328
^^e,f,6,0.0096
^^e,g,31,0.0496
^^e,i,13,0.0208
^^e,l,129,0.2064
^^e,m,17,0.0272
^^e,n,29,0.0464
^^e,o,3,0.0048
^^e,p,9,0.0144
^^e,r,30,0.048
^^e,s,33,0.0528
^^e,t,22,0.0352
^^e,u,3,0.0048
^^e,v,31,0.0496
^^e,w,13,0.0208
^^e,x,17,0.0272
^^e,y,16,0.0256
^^f,a,159,0.1901913875598086
^^f,d,1,0.0011961722488038277
^^f,e,111,0.13277511961722488
^^f,f,9,0.01076555023923445
^^f,i,128,0.15311004784688995
^^f,l,84,0.10047846889952153
^^f,o,159,0.1901913875598086
^^f,r,135,0.16148325358851676
^^f,u,43,0.05143540669856459
^^f,y,7,0.008373205741626795
^^g,a,218,0.18568994889267462
^^g,e,54,0.04599659284497445
^^g,h,1,8.517887563884157e-4
^^g,i,86,0.07325383304940375
^^g,l,205,0.1746166950596252
^^g,n,1,8.517887563884157e-4
^^g,o,179,0.1524701873935264
^^g,r,318,0.2708688245315162
^^g,u,70,0.059625212947189095
^^g,w,37,0.03151618398637138
^^g,y,5,0.004258943781942078
^^h,a,581,0.36472065285624605
^^h,e,305,0.19146264908976773
^^h,i,171,0.10734463276836158
^^h,o,389,0.24419334588826114
^^h,s,1,6.277463904582549e-4
^^h,u,136,0.08537350910232266
^^h,y,10,0.006277463904582548
^^i,a,1,0.0031645569620253164
^^i,b,9,0.028481012658227847
^^i,c,15,0.04746835443037975
^^i,d,16,0.05063291139240506
^^i,f,5,0.015822784810126583
^^i,g,3,0.00949367088607595
^^i,k,1,0.0031645569620253164
^^i,l,18,0.056962025316455694
^^i,m,6,0.0189873417721519
^^i,n,170,0.5379746835443038
^^i,o,4,0.012658227848101266
^^i,p,7,0.022151898734177215
^^i,r,20,0.06329113924050633
^^i,s,19,0.060126582278481014
^^i,t,7,0.022151898734177215
^^i,v,11,0.03481012658227848
^^i,w,3,0.00949367088607595
^^i,x,1,0.0031645569620253164
^^j,a,14,0.2978723404255319
^^j,e,10,0.2127659574468085
^^j,i,2,0.0425531914893617
^^j,o,15,0.3191489361702128
^^j,u,6,0.1276595744680851
^^k,a,14,0.01699029126213592
^^k,e,224,0.27184466019417475
^^k,h,1,0.0012135922330097086
^^k,i,417,0.5060679611650486
^^k,l,3,0.0036407766990291263
^^k,n,141,0.17111650485436894
^^k,o,7,0.00849514563106796
^^k,r,1,0.0012135922330097086
^^k,t,1,0.0012135922330097086
^^k,u,1,0.0012135922330097086
^^k,w,1,0.0012135922330097086
^^k,y,13,0.015776699029126214
^^l,a,319,0.20151610865445357
^^l,e,225,0.14213518635502212
^^l,h,1,6.317119393556538e-4
^^l,i,229,0.14466203411244472
^^l,l,370,0.2337334175615919
^^l,o,288,0.1819330385344283
^^l,u,94,0.05938092229943146
^^l,y,57,0.036007580543272265
^^m,a,427,0.3312645461598138
^^m,e,205,0.1590380139643134
^^m,i,223,0.1730023273855702
^^m,n,1,7.757951900698216e-4
^^m,o,291,0.22575640031031807
^^m,u,114,0.08844065166795965
^^m,w,2,0.0015515903801396431
^^m,y,26,0.02017067494181536
^^n,a,81,0.16463414634146342
^^n,e,202,0.4105691056910569
^^n,i,30,0.06097560975609756
^^n,o,134,0.27235772357723576
^^n,u,36,0.07317073170731707
^^n,y,9,0.018292682926829267
^^o,',1,0.002652519893899204
^^o,a,41,0.10875331564986737
^^o,b,8,0.021220159151193633
^^o,c,11,0.029177718832891247
^^o,d,11,0.029177718832891247
^^o,f,11,0.029177718832891247
^^o,g,7,0.01856763925729443
^^o,i,6,0.015915119363395226
^^o,k,4,0.010610079575596816
^^o,l,40,0.10610079575596817
^^o,m,4,0.010610079575596816
^^o,n,12,0.03183023872679045
^^o,o,1,0.002652519893899204
^^o,p,2,0.005305039787798408
^^o,r,59,0.15649867374005305
^^o,s,27,0.07161803713527852
^^o,t,18,0.04774535809018567
^^o,u,32,0.08488063660477453
^^o,v,29,0.07692307692307693
^^o,w,18,0.04774535809018567
^^o,x,31,0.08222811671087533
^^o,y,2,0.005305039787798408
^^o,z,2,0.005305039787798408
^^p,',1,8.038585209003215e-4
^^p,a,185,0.1487138263665595
^^p,e,377,0.30305466237942125
^^p,h,15,0.012057877813504822
^^p,i,150,0.12057877813504823
^^p,l,57,0.04581993569131833
^^p,o,311,0.25
^^p,r,73,0.058681672025723476
^^p,t,1,8.038585209003215e-4
^^p,u,51,0.0409967845659164
^^p,w,9,0.007234726688102894
^^p,y,14,0.011254019292604502
^^q,u,75,1
^^r,a,202,0.19649805447470817
^^r,e,145,0.14105058365758755
^^r,h,104,0.10116731517509728
^^r,i,125,0.12159533073929961
^^r,o,299,0.2908560311284047
^^r,u,124,0.12062256809338522
^^r,y,29,0.02821011673151751
^^s,a,217,0.09381755296152183
^^s,c,144,0.0622568093385214
^^s,e,151,0.06528318201469953
^^s,g,12,0.005188067444876783
^^s,h,343,0.14829226113272806
^^s,i,106,0.045827929096411583
^^s,k,93,0.040207522697795074
^^s,l,65,0.028102031993082578
^^s,m,53,0.022913964548205792
^^s,n,45,0.019455252918287938
^^s,o,144,0.0622568093385214
^^s,p,113,0.04885430177258971
^^s,q,3,0.0012970168612191958
^^s,r,6,0.0025940337224383916
^^s,t,593,0.256376999567661
^^s,u,93,0.040207522697795074
^^s,w,107,0.04626026805015132
^^s,y,25,0.010808473843493299
^^t,a,176,0.1281864530225783
^^t,e,90,0.06554989075018208
^^t,h,203,0.14785142024763293
^^t,i,134,0.09759650400582666
^^t,n,1,7.283321194464676e-4
^^t,o,237,0.1726147123088128
^^t,r,371,0.27021121631463946
^^t,u,86,0.06263656227239621
^^t,w,36,0.026219956300072834
^^t,y,39,0.028404952658412235
^^u,a,4,0.023809523809523808
^^u,b,3,0.017857142857142856
^^u,c,4,0.023809523809523808
^^u,d,6,0.03571428571428571
^^u,f,5,0.02976190476190476
^^u,g,7,0.041666666666666664
^^u,i,7,0.041666666666666664
^^u,l,29,0.17261904761904762
^^u,m,3,0.017857142857142856
^^u,n,23,0.13690476190476192
^^u,p,42,0.25
^^u,r,16,0.09523809523809523
^^u,s,7,0.041666666666666664
^^u,t,5,0.02976190476190476
^^u,w,2,0.011904761904761904
^^u,x,2,0.011904761904761904
^^u,y,2,0.011904761904761904
^^u,z,1,0.005952380952380952
^^v,a,24,0.3116883116883117
^^v,e,20,0.2597402597402597
^^v,i,22,0.2857142857142857
^^v,o,10,0.12987012987012986
^^v,r,1,0.012987012987012988
^^w,a,343,0.22805851063829788
^^w,e,257,0.17087765957446807
^^w,h,214,0.1422872340425532
^^w,i,335,0.22273936170212766
^^w,o,252,0.1675531914893617
^^w,r,48,0.031914893617021274
^^w,w,1,6.648936170212766e-4
^^w,y,54,0.03590425531914894
^^y,a,47,0.3533834586466165
^^y,b,1,0.007518796992481203
^^y,e,36,0.2706766917293233
^^y,i,4,0.03007518796992481
^^y,n,12,0.09022556390977443
^^y,o,22,0.16541353383458646
^^y,s,8,0.06015037593984962
^^y,t,3,0.022556390977443608
^^z,e,3,0.75
^^z,o,1,0.25
^a',c,2,1
^aa,c,1,0.5
^aa,s,1,0.5
^ab,b,20,0.16666666666666666
