prefix,next_char,count,prob
'ab,b,2,0.4
'ab,r,1,0.2
'ab,u,2,0.4
'ac,q,3,1
'ad,d,1,0.3333333333333333
'ad,o,1,0.3333333333333333
'ad,r,1,0.3333333333333333
'ag,a,2,0.25
'ag,n,2,0.25
'ag,o,2,0.25
'ag,u,1,0.125
'ag,z,1,0.125
'ai,a,1,0.3333333333333333
'ai,c,1,0.3333333333333333
'ai,r,1,0.3333333333333333
'al,b,7,0.4117647058823529
'al,e,1,0.058823529411764705
'al,f,4,0.23529411764705882
'al,l,1,0.058823529411764705
'al,o,1,0.058823529411764705
'al,p,1,0.058823529411764705
'al,t,2,0.11764705882352941
'am,a,1,0.2
'am,b,1,0.2
'am,i,1,0.2
'am,o,2,0.4
'an,a,3,0.09090909090909091
'an,c,3,0.09090909090909091
'an,d,5,0.15151515151515152
'an,g,6,0.18181818181818182
'an,i,1,0.030303030303030304
'an,n,6,0.18181818181818182
'an,s,3,0.09090909090909091
'an,t,6,0.18181818181818182
'ap,o,3,0.5
'ap,p,3,0.5
'aq,u,1,1
'ar,a,1,0.043478260869565216
'ar,b,1,0.043478260869565216
'ar,c,5,0.21739130434782608
'ar,e,3,0.13043478260869565
'ar,g,3,0.13043478260869565
'ar,i,1,0.043478260869565216
'ar,m,3,0.13043478260869565
'ar,p,1,0.043478260869565216
'ar,q,1,0.043478260869565216
'ar,r,2,0.08695652173913043
'ar,s,1,0.043478260869565216
'ar,z,1,0.043478260869565216
'as,p,1,0.3333333333333333
'as,s,1,0.3333333333333333
'as,t,1,0.3333333333333333
'at,t,1,1
'av,a,1,0.3333333333333333
'av,e,1,0.3333333333333333
'av,r,1,0.3333333333333333
'az,z,2,1
'br,a,1,1
'ci,u,1,1
'ed,e,1,1
'ef,i,1,1
'eg,i,1,1
'el,e,2,0.2222222222222222
'el,i,5,0.5555555555555556
'el,l,1,0.1111111111111111
'el,m,1,0.1111111111111111
'em,i,2,1
'en,e,2,0.6666666666666666
'en,t,1,0.3333333333333333
'er,a,3,0.3333333333333333
'er,m,5,0.5555555555555556
'er,t,1,0.1111111111111111
'es,t,2,1
'eu,f,2,0.2222222222222222
'eu,l,1,0.1111111111111111
'eu,p,1,0.1111111111111111
'eu,r,1,0.1111111111111111
'eu,s,3,0.3333333333333333
'eu,t,1,0.1111111111111111
'fi,o,1,1
'hi,s,1,1
'ho,t,2,1
'ia,n,1,1
'ib,e,1,1
'ig,i,1,0.3333333333333333
'ig,n,2,0.6666666666666666
'il,a,1,0.3333333333333333
'il,i,1,0.3333333333333333
'il,l,1,0.3333333333333333
'im,e,1,0.5
'im,m,1,0.5
'in,c,2,1
'ip,p,1,1
'is,c,4,0.5
