prefix,next_char,count,prob
'aj,u,1,1
^^^,a,776,0.11672683513838748
^^^,b,524,0.07882069795427196
^^^,c,1009,0.15177496991576414
^^^,d,83,0.012484957882069795
^^^,e,214,0.03219013237063779
^^^,f,371,0.055806257521058965
^^^,g,347,0.052196149217809865
^^^,h,12,0.0018050541516245488
^^^,i,34,0.005114320096269555
^^^,j,52,0.007821901323706379
^^^,k,1,1.5042117930204573e-4
^^^,l,304,0.0457280385078219
^^^,m,626,0.09416365824308062
^^^,n,90,0.013537906137184115
^^^,o,110,0.01654632972322503
^^^,p,573,0.0861913357400722
^^^,q,54,0.008122743682310469
^^^,r,341,0.05129362214199759
^^^,s,473,0.07114921780986763
^^^,t,326,0.04903730445246691
^^^,u,35,0.0052647412755716
^^^,v,251,0.03775571600481348
^^^,w,1,1.5042117930204573e-4
^^^,x,5,7.521058965102287e-4
^^^,y,1,1.5042117930204573e-4
^^^,z,35,0.0052647412755716
^^a,b,45,0.05798969072164949
^^a,c,4,0.005154639175257732
^^a,d,30,0.03865979381443299
^^a,f,6,0.007731958762886598
^^a,g,38,0.04896907216494845
^^a,i,9,0.011597938144329897
^^a,j,2,0.002577319587628866
^^a,l,273,0.35180412371134023
^^a,m,45,0.05798969072164949
^^a,n,48,0.061855670103092786
^^a,o,4,0.005154639175257732
^^a,p,11,0.014175257731958763
^^a,q,7,0.00902061855670103
^^a,r,137,0.17654639175257733
^^a,s,25,0.03221649484536082
^^a,t,22,0.028350515463917526
^^a,v,33,0.04252577319587629
^^a,z,37,0.04768041237113402
^^b,a,177,0.3377862595419847
^^b,b,1,0.0019083969465648854
^^b,e,96,0.183206106870229
^^b,i,28,0.05343511450381679
^^b,o,107,0.20419847328244276
^^b,r,79,0.15076335877862596
^^b,u,36,0.06870229007633588
^^c,a,515,0.5104063429137761
^^c,e,71,0.07036669970267592
^^c,h,76,0.0753221010901883
^^c,i,29,0.028741328047571853
^^c,l,4,0.003964321110009911
^^c,m,2,0.0019821605550049554
^^c,o,224,0.222001982160555
^^c,r,36,0.035678889990089196
^^c,s,1,9.910802775024777e-4
^^c,t,2,0.0019821605550049554
^^c,u,49,0.048562933597621406
^^d,',1,0.012048192771084338
^^d,a,13,0.1566265060240964
^^d,e,32,0.3855421686746988
^^d,i,4,0.04819277108433735
^^d,l,1,0.012048192771084338
^^d,o,23,0.27710843373493976
^^d,r,1,0.012048192771084338
^^d,s,1,0.012048192771084338
^^d,u,7,0.08433734939759036
^^e,b,1,0.004672897196261682
^^e,d,3,0.014018691588785047
^^e,g,2,0.009345794392523364
^^e,i,14,0.06542056074766354
^^e,j,1,0.004672897196261682
^^e,l,1,0.004672897196261682
^^e,m,3,0.014018691588785047
^^e,n,30,0.14018691588785046
^^e,q,1,0.004672897196261682
^^e,r,27,0.1261682242990654
^^e,s,125,0.5841121495327103
^^e,u,3,0.014018691588785047
^^e,v,1,0.004672897196261682
^^e,x,2,0.009345794392523364
^^f,a,80,0.215633423180593
^^f,e,64,0.1725067385444744
^^f,i,28,0.07547169811320754
^^f,l,4,0.01078167115902965
^^f,n,1,0.0026954177897574125
^^f,o,83,0.22371967654986524
^^f,r,82,0.2210242587601078
^^f,t,1,0.0026954177897574125
^^f,u,28,0.07547169811320754
^^g,a,98,0.2824207492795389
^^g,e,25,0.07204610951008646
^^g,f,1,0.002881844380403458
^^g,i,30,0.08645533141210375
^^g,l,2,0.005763688760806916
^^g,m,2,0.005763688760806916
^^g,n,3,0.008645533141210375
^^g,o,85,0.24495677233429394
^^g,r,42,0.12103746397694524
^^g,u,58,0.16714697406340057
^^g,v,1,0.002881844380403458
^^h,e,3,0.25
^^h,o,9,0.75
^^i,a,1,0.029411764705882353
^^i,b,1,0.029411764705882353
^^i,c,1,0.029411764705882353
^^i,d,2,0.058823529411764705
^^i,f,1,0.029411764705882353
^^i,g,3,0.08823529411764706
^^i,l,1,0.029411764705882353
^^i,m,4,0.11764705882352941
^^i,n,15,0.4411764705882353
^^i,r,1,0.029411764705882353
^^i,s,2,0.058823529411764705
^^i,z,2,0.058823529411764705
^^j,a,13,0.25
^^j,e,3,0.057692307692307696
^^j,l,1,0.019230769230769232
^^j,o,11,0.21153846153846154
^^j,u,24,0.46153846153846156
^^k,i,1,1
^^l,a,129,0.4243421052631579
^^l,e,33,0.10855263157894737
^^l,g,1,0.003289473684210526
^^l,h,1,0.003289473684210526
^^l,i,26,0.08552631578947369
^^l,o,84,0.27631578947368424
^^l,u,26,0.08552631578947369
^^l,v,1,0.003289473684210526
^^l,y,1,0.003289473684210526
^^l,z,2,0.006578947368421052
^^m,a,231,0.36900958466453676
^^m,c,1,0.001597444089456869
^^m,d,1,0.001597444089456869
^^m,e,108,0.17252396166134185
^^m,h,1,0.001597444089456869
^^m,i,55,0.0878594249201278
^^m,o,189,0.3019169329073482
^^m,r,4,0.006389776357827476
^^m,u,36,0.05750798722044728
^^n,a,29,0.32222222222222224
^^n,c,1,0.011111111111111112
^^n,e,22,0.24444444444444444
^^n,i,4,0.044444444444444446
^^n,o,29,0.32222222222222224
^^n,s,1,0.011111111111111112
^^n,u,4,0.044444444444444446
^^o,b,1,0.00909090909090909
^^o,c,2,0.01818181818181818
^^o,d,7,0.06363636363636363
^^o,e,1,0.00909090909090909
^^o,f,1,0.00909090909090909
^^o,i,1,0.00909090909090909
^^o,l,23,0.20909090909090908
^^o,n,2,0.01818181818181818
^^o,p,1,0.00909090909090909
^^o,r,26,0.23636363636363636
^^o,s,2,0.01818181818181818
^^o,t,1,0.00909090909090909
^^o,u,33,0.3
^^o,v,7,0.06363636363636363
^^o,z,2,0.01818181818181818
^^p,a,167,0.2914485165794066
^^p,e,155,0.2705061082024433
^^p,i,76,0.13263525305410123
^^p,l,2,0.0034904013961605585
^^p,n,1,0.0017452006980802793
^^p,o,120,0.2094240837696335
^^p,p,1,0.0017452006980802793
^^p,r,43,0.07504363001745201
^^p,t,1,0.0017452006980802793
^^p,u,5,0.008726003490401396
^^p,v,2,0.0034904013961605585
^^q,u,54,1
^^r,a,67,0.19648093841642228
^^r,b,1,0.002932551319648094
^^r,d,1,0.002932551319648094
^^r,e,127,0.3724340175953079
^^r,f,1,0.002932551319648094
^^r,i,41,0.12023460410557185
^^r,o,84,0.24633431085043989
^^r,u,18,0.05278592375366569
^^r,v,1,0.002932551319648094
^^s,a,187,0.3953488372093023
^^s,c,1,0.0021141649048625794
^^s,e,133,0.28118393234672306
^^s,i,46,0.09725158562367865
^^s,l,1,0.0021141649048625794
^^s,o,82,0.1733615221987315
^^s,t,2,0.004228329809725159
^^s,u,20,0.042283298097251586
^^s,y,1,0.0021141649048625794
^^t,a,81,0.24846625766871167
^^t,b,2,0.006134969325153374
^^t,e,63,0.19325153374233128
^^t,h,1,0.003067484662576687
^^t,i,13,0.03987730061349693
^^t,o,85,0.2607361963190184
^^t,r,68,0.2085889570552147
^^t,s,1,0.003067484662576687
^^t,u,11,0.03374233128834356
^^t,v,1,0.003067484662576687
^^u,c,2,0.05714285714285714
^^u,f,1,0.02857142857142857
^^u,l,3,0.08571428571428572
^^u,m,1,0.02857142857142857
^^u,n,3,0.08571428571428572
^^u,r,23,0.6571428571428571
^^u,s,1,0.02857142857142857
^^u,v,1,0.02857142857142857
^^v,a,88,0.350597609561753
^^v,e,67,0.26693227091633465
^^v,i,85,0.3386454183266932
^^v,l,1,0.00398406374501992
^^v,o,7,0.027888446215139442
^^v,r,3,0.01195219123505976
^^w,e,1,1
^^x,a,2,0.4
^^x,e,1,0.2
^^x,i,2,0.4
^^y,e,1,1
^^z,a,9,0.2571428571428571
^^z,e,11,0.3142857142857143
^^z,i,8,0.22857142857142856
^^z,o,6,0.17142857142857143
^^z,z,1,0.02857142857142857
^ab,a,7,0.15555555555555556
^ab,b,1,0.022222222222222223
^ab,e,8,0.17777777777777778
^ab,i,3,0.06666666666666667
^ab,o,10,0.2222222222222222
^ab,r,12,0.26666666666666666
^ab,u,4,0.08888888888888889
^ac,e,1,0.25
^ac,h,3,0.75
^ad,a,7,0.23333333333333334
^ad,c,1,0.03333333333333333
^ad,e,9,0.3
^ad,g,1,0.03333333333333333
^ad,i,1,0.03333333333333333
^ad,j,1,0.03333333333333333
^ad,o,5,0.16666666666666666
^ad,r,2,0.06666666666666667
^ad,u,2,0.06666666666666667
^ad,v,1,0.03333333333333333
^af,e,2,0.3333333333333333
^af,i,1,0.16666666666666666
^af,o,3,0.5
^ag,a,2,0.05263157894736842
^ag,e,1,0.02631578947368421
^ag,i,1,0.02631578947368421
^ag,o,7,0.18421052631578946
^ag,r,13,0.34210526315789475
^ag,u,14,0.3684210526315789
^ai,a,1,0.1111111111111111
^ai,o,1,0.1111111111111111
^ai,p,1,0.1111111111111111
^ai,r,4,0.4444444444444444
^ai,v,2,0.2222222222222222
^aj,u,2,1
^al,a,12,0.04395604395604396
^al,b,15,0.054945054945054944
^al,c,43,0.1575091575091575
^al,d,9,0.03296703296703297
^al,e,6,0.02197802197802198
^al,f,33,0.12087912087912088
^al,g,23,0.08424908424908426
^al,h,5,0.018315018315018316
^al,i,5,0.018315018315018316
^al,j,4,0.014652014652014652
^al,m,48,0.17582417582417584
^al,o,1,0.003663003663003663
^al,p,12,0.04395604395604396
^al,q,6,0.02197802197802198
^al,r,2,0.007326007326007326
^al,t,5,0.018315018315018316
^al,u,3,0.01098901098901099
^al,v,41,0.15018315018315018
^am,a,8,0.17777777777777778
^am,e,18,0.4
^am,i,8,0.17777777777777778
^am,m,1,0.022222222222222223
^am,n,1,0.022222222222222223
^am,o,8,0.17777777777777778
^am,p,1,0.022222222222222223
^an,a,4,0.08333333333333333
^an,c,5,0.10416666666666667
^an,d,10,0.20833333333333334
^an,e,1,0.020833333333333332
^an,g,5,0.10416666666666667
^an,h,2,0.041666666666666664
^an,i,2,0.041666666666666664
^an,j,1,0.020833333333333332
^an,o,2,0.041666666666666664
^an,r,1,0.020833333333333332
^an,s,3,0.0625
^an,t,12,0.25
^ao,r,4,1
^ap,a,3,0.2727272727272727
^ap,e,1,0.09090909090909091
^ap,i,2,0.18181818181818182
^ap,l,1,0.09090909090909091
^ap,o,3,0.2727272727272727
^ap,s,1,0.09090909090909091
^aq,u,7,1
^ar,a,9,0.06569343065693431
^ar,b,1,0.0072992700729927005
^ar,c,10,0.072992700729927
^ar,d,4,0.029197080291970802
^ar,e,15,0.10948905109489052
^ar,g,15,0.10948905109489052
