prefix,next_char,count,prob
^^^,a,344,0.0287673524000669
^^^,b,1427,0.11933433684562636
^^^,c,1774,0.14835256731894966
^^^,d,556,0.04649606957685232
^^^,e,120,0.010035122930255895
^^^,f,368,0.03077437698611808
^^^,g,697,0.058287339019902996
^^^,h,363,0.030356246864024085
^^^,i,354,0.02960361264425489
^^^,j,118,0.009867870881418297
^^^,k,9,7.526342197691922e-4
^^^,l,396,0.03311590566984446
^^^,m,838,0.07007860846295368
^^^,n,253,0.02115738417795618
^^^,o,336,0.02809834420471651
^^^,p,1002,0.08379327646763673
^^^,r,470,0.039304231476835594
^^^,s,1014,0.08479678876066232
^^^,t,644,0.05385515972570664
^^^,u,205,0.01714333500585382
^^^,v,477,0.039889613647767184
^^^,w,1,8.362602441879912e-5
^^^,z,192,0.016056196688409432
^^a,b,7,0.020348837209302327
^^a,c,8,0.023255813953488372
^^a,d,15,0.0436046511627907
^^a,e,2,0.005813953488372093
^^a,f,3,0.00872093023255814
^^a,g,23,0.06686046511627906
^^a,i,4,0.011627906976744186
^^a,l,63,0.18313953488372092
^^a,m,16,0.046511627906976744
^^a,n,39,0.11337209302325581
^^a,p,17,0.04941860465116279
^^a,r,101,0.2936046511627907
^^a,s,17,0.04941860465116279
^^a,t,9,0.02616279069767442
^^a,u,10,0.029069767441860465
^^a,v,7,0.020348837209302327
^^a,x,1,0.0029069767441860465
^^a,z,2,0.005813953488372093
^^b,a,159,0.11142256482130343
^^b,b,12,0.008409250175192713
^^b,c,15,0.01051156271899089
^^b,d,20,0.01401541695865452
^^b,e,160,0.11212333566923616
^^b,g,5,0.00350385423966363
^^b,h,2,0.001401541695865452
^^b,i,90,0.06306937631394534
^^b,j,4,0.002803083391730904
^^b,l,102,0.07147862648913805
^^b,n,14,0.009810791871058164
^^b,o,285,0.1997196916608269
^^b,r,245,0.17168885774351786
^^b,s,9,0.006306937631394534
^^b,t,15,0.01051156271899089
^^b,u,285,0.1997196916608269
^^b,z,5,0.00350385423966363
^^c,a,144,0.08117249154453213
^^c,b,5,0.002818489289740699
^^c,c,7,0.003945885005636978
^^c,d,4,0.002254791431792559
^^c,e,139,0.07835400225479143
^^c,h,192,0.10822998872604284
^^c,i,282,0.1589627959413754
^^c,l,102,0.05749718151071026
^^c,m,22,0.012401352874859075
^^c,n,16,0.009019165727170236
^^c,o,443,0.24971815107102593
^^c,p,30,0.016910935738444193
^^c,r,224,0.1262683201803833
^^c,s,6,0.0033821871476888386
^^c,t,16,0.009019165727170236
^^c,u,139,0.07835400225479143
^^c,v,1,5.636978579481398e-4
^^c,z,2,0.0011273957158962795
^^d,a,38,0.0683453237410072
^^d,b,3,0.00539568345323741
^^d,d,1,0.0017985611510791368
^^d,e,73,0.13129496402877697
^^d,i,51,0.09172661870503597
^^d,l,9,0.01618705035971223
^^d,m,23,0.04136690647482014
^^d,n,14,0.025179856115107913
^^d,o,135,0.24280575539568344
^^d,r,127,0.22841726618705036
^^d,s,2,0.0035971223021582736
^^d,t,1,0.0017985611510791368
^^d,u,79,0.1420863309352518
^^e,a,1,0.008333333333333333
^^e,b,2,0.016666666666666666
^^e,c,1,0.008333333333333333
^^e,d,3,0.025
^^e,e,2,0.016666666666666666
^^e,f,1,0.008333333333333333
^^e,g,5,0.041666666666666664
^^e,h,1,0.008333333333333333
^^e,i,5,0.041666666666666664
^^e,l,15,0.125
^^e,n,12,0.1
^^e,p,9,0.075
^^e,r,39,0.325
^^e,s,11,0.09166666666666666
^^e,t,2,0.016666666666666666
^^e,u,5,0.041666666666666664
^^e,x,1,0.008333333333333333
^^e,z,5,0.041666666666666664
^^f,a,19,0.051630434782608696
^^f,c,7,0.019021739130434784
^^f,d,1,0.002717391304347826
^^f,e,54,0.14673913043478262
^^f,g,13,0.035326086956521736
^^f,i,54,0.14673913043478262
^^f,l,36,0.09782608695652174
^^f,n,17,0.04619565217391304
^^f,o,35,0.09510869565217392
^^f,r,79,0.21467391304347827
^^f,s,2,0.005434782608695652
^^f,t,2,0.005434782608695652
^^f,u,49,0.1331521739130435
^^g,a,49,0.0703012912482066
^^g,b,3,0.00430416068866571
^^g,d,3,0.00430416068866571
^^g,e,24,0.03443328550932568
^^g,g,3,0.00430416068866571
