prefix,next_char,count,prob
^^^,a,1542,0.03015900956404389
^^^,b,4427,0.0865849126718692
^^^,c,36,7.041013906002464e-4
^^^,d,1256,0.024565315183164155
^^^,e,860,0.016820199886561443
^^^,f,2281,0.04461264644331006
^^^,g,3297,0.0644839523558059
^^^,h,4257,0.08325998943847913
^^^,i,468,0.009153318077803204
^^^,j,806,0.015764047800661072
^^^,k,4556,0.0891079426548534
^^^,l,3454,0.06755461675370142
^^^,m,2302,0.045023372254493536
^^^,n,1892,0.03700443975043517
^^^,o,724,0.014160261299849401
^^^,p,1017,0.019890864284456963
^^^,q,2,3.9116743922235916e-5
^^^,r,2944,0.057579847053531266
^^^,s,8245,0.16125877681941755
^^^,t,2887,0.05646501985174754
^^^,u,640,0.012517358055115493
^^^,v,2951,0.05771675565725909
^^^,w,10,1.9558371961117958e-4
^^^,x,13,2.542588354945334e-4
^^^,y,256,0.005006943222046197
^^^,z,6,1.1735023176670773e-4
^^a,a,10,0.00648508430609598
^^a,b,71,0.046044098573281456
^^a,c,16,0.010376134889753566
^^a,d,26,0.016861219195849545
^^a,f,5,0.00324254215304799
^^a,g,41,0.026588845654993514
^^a,h,14,0.009079118028534372
^^a,i,27,0.017509727626459144
^^a,j,18,0.011673151750972763
^^a,k,37,0.023994811932555125
^^a,l,396,0.25680933852140075
^^a,m,61,0.03955901426718547
^^a,n,229,0.14850843060959792
^^a,p,44,0.028534370946822308
^^a,r,173,0.11219195849546044
^^a,s,197,0.12775616083009078
^^a,t,28,0.018158236057068743
^^a,u,35,0.022697795071335927
^^a,v,69,0.04474708171206226
^^a,x,45,0.029182879377431907
^^b,a,440,0.09939010616670431
^^b,b,3,6.776598147729839e-4
^^b,c,99,0.022362773887508472
^^b,d,20,0.00451773209848656
^^b,e,338,0.07634967246442285
^^b,g,15,0.00338829907386492
^^b,h,7,0.001581206234470296
^^b,i,167,0.03772306302236277
^^b,j,554,0.1251411791280777
^^b,k,36,0.008131917777275807
^^b,l,374,0.08448159024169867
^^b,m,1,2.2588660492432798e-4
^^b,n,56,0.012649649875762368
^^b,o,742,0.16760786085385138
^^b,r,1035,0.23379263609667947
^^b,s,53,0.011971990060989384
^^b,t,73,0.016489722159475945
^^b,u,268,0.0605376101197199
^^b,v,16,0.0036141856787892477
^^b,y,130,0.02936525864016264
^^c,a,4,0.1111111111111111
^^c,e,8,0.2222222222222222
^^c,h,7,0.19444444444444445
^^c,i,3,0.08333333333333333
^^c,k,9,0.25
^^c,o,4,0.1111111111111111
^^c,y,1,0.027777777777777776
^^d,a,267,0.2125796178343949
^^d,b,4,0.0031847133757961785
^^d,c,1,7.961783439490446e-4
^^d,d,23,0.018312101910828025
^^d,e,131,0.10429936305732485
^^d,f,1,7.961783439490446e-4
^^d,g,2,0.0015923566878980893
^^d,h,2,0.0015923566878980893
^^d,i,89,0.07085987261146497
^^d,j,174,0.13853503184713375
^^d,k,9,0.007165605095541401
^^d,l,14,0.011146496815286623
^^d,m,16,0.012738853503184714
^^d,n,21,0.016719745222929936
^^d,o,79,0.06289808917197452
^^d,p,1,7.961783439490446e-4
^^d,r,202,0.160828025477707
^^d,s,17,0.013535031847133758
^^d,t,2,0.0015923566878980893
^^d,u,105,0.08359872611464968
^^d,v,21,0.016719745222929936
^^d,y,75,0.059713375796178345
^^e,a,3,0.0034883720930232558
^^e,b,20,0.023255813953488372
^^e,c,11,0.012790697674418604
^^e,d,101,0.11744186046511627
^^e,f,10,0.011627906976744186
^^e,g,23,0.026744186046511628
^^e,i,1,0.0011627906976744186
^^e,j,10,0.011627906976744186
^^e,k,191,0.22209302325581395
^^e,l,116,0.13488372093023257
^^e,m,30,0.03488372093023256
^^e,n,139,0.16162790697674417
^^e,r,91,0.1058139534883721
^^e,s,70,0.08139534883720931
^^e,t,19,0.022093023255813953
^^e,u,1,0.0011627906976744186
^^e,v,19,0.022093023255813953
^^e,x,5,0.005813953488372093
^^f,a,253,0.11091626479614204
^^f,b,19,0.008329679964927663
^^f,c,2,8.768084173608067e-4
^^f,d,2,8.768084173608067e-4
^^f,e,56,0.024550635686102586
^^f,f,2,8.768084173608067e-4
^^f,g,85,0.037264357737834285
^^f,h,3,0.00131521262604121
^^f,i,309,0.13546690048224463
^^f,j,176,0.07715914072775099
^^f,k,3,0.00131521262604121
^^f,l,485,0.21262604120999562
^^f,m,2,8.768084173608067e-4
^^f,n,46,0.020166593599298552
^^f,o,178,0.07803594914511179
^^f,r,451,0.19772029811486191
^^f,s,24,0.01052170100832968
^^f,t,8,0.0035072336694432268
^^f,u,129,0.05655414291977203
^^f,v,2,8.768084173608067e-4
^^f,x,1,4.3840420868040335e-4
^^f,y,45,0.01972818939061815
^^g,a,395,0.11980588413709432
^^g,b,9,0.00272975432211101
^^g,c,2,6.066120715802245e-4
^^g,d,68,0.02062481043372763
^^g,e,209,0.06339096148013346
^^g,f,1,3.0330603579011223e-4
^^g,g,18,0.00545950864422202
^^g,h,7,0.0021231422505307855
^^g,i,234,0.07097361237488627
^^g,j,19,0.005762814680012132
^^g,k,25,0.0075826508947528055
^^g,l,276,0.08371246587807098
^^g,m,3,9.099181073703367e-4
^^g,n,54,0.01637852593266606
^^g,o,97,0.029420685471640885
^^g,p,4,0.001213224143160449
^^g,r,1154,0.3500151653017895
^^g,s,115,0.034880194115862906
^^g,t,44,0.013345465574764938
^^g,u,483,0.1464968152866242
^^g,v,23,0.006976038823172581
^^g,x,3,9.099181073703367e-4
^^g,y,54,0.01637852593266606
^^h,a,1062,0.24947145877378435
^^h,b,18,0.004228329809725159
^^h,c,29,0.006812309137890533
^^h,d,5,0.0011745360582569885
^^h,e,427,0.10030537937514682
^^h,f,6,0.0014094432699083862
^^h,g,331,0.07775428705661264
^^h,h,2,4.698144233027954e-4
^^h,i,160,0.03758515386422363
^^h,j,217,0.0509748649283533
^^h,k,110,0.025839793281653745
^^h,l,344,0.08080808080808081
^^h,m,15,0.0035236081747709656
^^h,n,67,0.015738783180643645
^^h,o,475,0.11158092553441391
^^h,p,6,0.0014094432699083862
^^h,r,225,0.052854122621564484
^^h,s,182,0.04275311252055438
^^h,t,29,0.006812309137890533
^^h,u,398,0.09349307023725628
^^h,v,37,0.008691566831101715
^^h,x,4,9.396288466055908e-4
^^h,y,108,0.02536997885835095
^^i,b,3,0.00641025641025641
^^i,c,9,0.019230769230769232
^^i,d,71,0.1517094017094017
^^i,e,5,0.010683760683760684
^^i,f,1,0.002136752136752137
