prefix,next_char,count,prob
''y,a,1,1
'ic,h,1,1
'in,e,1,1
'iv,k,1,1
'je,$,2,1
'ka,$,6,1
'ke,$,23,1
'kh,i,1,0.5
'kh,o,1,0.5
'ki,v,4,1
'ko,y,1,1
'ky,$,1,0.2
'ky,i,2,0.4
'ky,y,2,0.4
'mi,u,1,1
'my,a,1,1
'na,$,2,1
'no,y,2,1
'ny,a,2,0.5
'ny,s,1,0.25
'ny,t,1,0.25
's',k,1,1
'sh,a,3,1
'sk,e,1,0.5
'sk,o,1,0.5
'ta,$,1,1
'ts,i,1,1
'ty,t,1,1
'ya,$,3,0.15
'ya,c,1,0.05
'ya,n,10,0.5
'ya,r,1,0.05
'ya,t,5,0.25
'ye,v,2,1
'yi,n,1,0.5
'yi,v,1,0.5
^^^,a,333,0.01675977653631285
^^^,b,1596,0.08032613619205797
^^^,c,497,0.025013840656298757
^^^,d,853,0.04293119935578036
^^^,e,30,0.0015098897780462027
^^^,f,154,0.00775076752730384
^^^,g,300,0.015098897780462027
^^^,h,896,0.045095374704313254
^^^,i,240,0.012079118224369622
^^^,j,4,2.0131863707282703e-4
^^^,k,2738,0.1378026070763501
^^^,l,909,0.04574966027479994
^^^,m,1246,0.06271075544818562
^^^,n,885,0.04454174845236298
^^^,o,650,0.03271427852433439
^^^,p,1701,0.08561075041521969
^^^,q,3,1.5098897780462027e-4
^^^,r,775,0.03900548593286023
^^^,s,2351,0.11832502893955409
^^^,t,892,0.04489405606724042
^^^,u,185,0.00931098696461825
^^^,v,1128,0.05677185565453722
^^^,w,4,2.0131863707282703e-4
^^^,y,464,0.023352961900447933
^^^,z,1035,0.052091197342593994
^^a,b,12,0.036036036036036036
^^a,d,15,0.04504504504504504
^^a,e,2,0.006006006006006006
^^a,f,2,0.006006006006006006
^^a,g,2,0.006006006006006006
^^a,h,8,0.024024024024024024
^^a,i,1,0.003003003003003003
^^a,k,13,0.03903903903903904
^^a,l,45,0.13513513513513514
^^a,m,9,0.02702702702702703
^^a,n,86,0.25825825825825827
^^a,p,11,0.03303303303303303
^^a,r,64,0.1921921921921922
^^a,s,12,0.036036036036036036
^^a,t,9,0.02702702702702703
^^a,u,4,0.012012012012012012
^^a,v,23,0.06906906906906907
^^a,y,7,0.021021021021021023
^^a,z,8,0.024024024024024024
^^b,a,337,0.2111528822055138
^^b,d,1,6.265664160401002e-4
^^b,e,275,0.17230576441102757
^^b,i,155,0.09711779448621553
^^b,l,38,0.023809523809523808
^^b,o,337,0.2111528822055138
^^b,r,133,0.08333333333333333
^^b,u,262,0.16416040100250626
^^b,y,54,0.03383458646616541
^^b,z,4,0.002506265664160401
^^c,a,2,0.004024144869215292
^^c,e,1,0.002012072434607646
^^c,h,487,0.9798792756539235
^^c,i,3,0.006036217303822937
^^c,o,2,0.004024144869215292
^^c,r,1,0.002012072434607646
^^c,u,1,0.002012072434607646
^^d,a,71,0.08323563892145369
^^d,e,155,0.1817116060961313
^^d,i,60,0.07033997655334115
^^d,m,18,0.021101992966002344
^^d,n,19,0.022274325908558032
^^d,o,232,0.2719812426729191
^^d,r,73,0.08558030480656506
^^d,u,126,0.1477139507620164
^^d,v,17,0.01992966002344666
^^d,y,39,0.04572098475967175
^^d,z,43,0.05041031652989449
^^e,c,1,0.03333333333333333
^^e,d,2,0.06666666666666667
^^e,i,1,0.03333333333333333
^^e,k,1,0.03333333333333333
^^e,l,7,0.23333333333333334
^^e,m,2,0.06666666666666667
^^e,n,4,0.13333333333333333
^^e,r,2,0.06666666666666667
^^e,s,4,0.13333333333333333
^^e,u,2,0.06666666666666667
^^e,v,3,0.1
^^e,z,1,0.03333333333333333
^^f,a,28,0.18181818181818182
^^f,d,1,0.006493506493506494
^^f,e,36,0.23376623376623376
^^f,i,17,0.11038961038961038
^^f,l,7,0.045454545454545456
^^f,o,22,0.14285714285714285
^^f,r,24,0.15584415584415584
^^f,u,12,0.07792207792207792
^^f,y,7,0.045454545454545456
^^g,a,39,0.13
^^g,d,1,0.0033333333333333335
^^g,e,21,0.07
^^g,i,7,0.023333333333333334
^^g,l,25,0.08333333333333333
^^g,n,11,0.03666666666666667
^^g,o,88,0.29333333333333333
^^g,r,70,0.23333333333333334
^^g,u,35,0.11666666666666667
^^g,v,1,0.0033333333333333335
^^g,y,1,0.0033333333333333335
^^g,z,1,0.0033333333333333335
^^h,a,149,0.16629464285714285
^^h,b,1,0.0011160714285714285
^^h,e,41,0.04575892857142857
^^h,i,24,0.026785714285714284
^^h,l,82,0.09151785714285714
^^h,m,1,0.0011160714285714285
^^h,n,28,0.03125
^^h,o,253,0.28236607142857145
^^h,r,193,0.21540178571428573
^^h,u,105,0.1171875
^^h,v,13,0.014508928571428572
^^h,y,6,0.006696428571428571
^^i,b,1,0.004166666666666667
^^i,c,3,0.0125
^^i,d,1,0.004166666666666667
^^i,g,5,0.020833333333333332
^^i,h,5,0.020833333333333332
^^i,k,4,0.016666666666666666
^^i,l,48,0.2
^^i,m,5,0.020833333333333332
^^i,n,14,0.058333333333333334
^^i,o,6,0.025
^^i,r,17,0.07083333333333333
^^i,s,25,0.10416666666666667
^^i,t,1,0.004166666666666667
^^i,v,81,0.3375
^^i,y,1,0.004166666666666667
^^i,z,23,0.09583333333333334
^^j,a,4,1
^^k,a,456,0.16654492330168005
^^k,e,31,0.011322132943754566
^^k,h,355,0.12965668371073777
^^k,i,85,0.0310445580715851
^^k,l,125,0.045653761869978084
^^k,m,1,3.652300949598247e-4
^^k,n,29,0.010591672753834916
^^k,o,797,0.2910883856829803
^^k,r,401,0.1464572680788897
^^k,s,10,0.003652300949598247
^^k,u,339,0.12381300219138057
^^k,v,16,0.005843681519357195
^^k,y,92,0.03360116873630387
^^k,z,1,3.652300949598247e-4
^^l,a,122,0.1342134213421342
^^l,e,140,0.15401540154015403
^^l,g,1,0.0011001100110011
^^l,h,2,0.0022002200220022
^^l,i,189,0.2079207920792079
^^l,l,1,0.0011001100110011
^^l,o,138,0.15181518151815182
^^l,u,135,0.1485148514851485
^^l,v,6,0.006600660066006601
^^l,y,175,0.1925192519251925
^^m,a,484,0.3884430176565008
^^m,e,147,0.11797752808988764
^^m,h,1,8.025682182985554e-4
^^m,i,108,0.08667736757624397
^^m,k,1,8.025682182985554e-4
^^m,l,19,0.015248796147672551
^^m,n,6,0.004815409309791332
^^m,o,235,0.18860353130016053
^^m,r,4,0.0032102728731942215
^^m,s,3,0.002407704654895666
^^m,u,65,0.0521669341894061
^^m,y,173,0.13884430176565007
^^n,a,134,0.15141242937853108
^^n,e,172,0.19435028248587571
^^n,i,48,0.05423728813559322
^^n,o,482,0.5446327683615819
^^n,u,4,0.004519774011299435
^^n,y,45,0.05084745762711865
^^o,b,65,0.1
^^o,c,14,0.021538461538461538
^^o,d,26,0.04
^^o,e,1,0.0015384615384615385
^^o,g,10,0.015384615384615385
^^o,h,9,0.013846153846153847
^^o,k,48,0.07384615384615385
^^o,l,108,0.16615384615384615
^^o,m,17,0.026153846153846153
^^o,n,19,0.02923076923076923
^^o,p,28,0.043076923076923075
^^o,r,78,0.12
^^o,s,143,0.22
^^o,t,16,0.024615384615384615
^^o,v,21,0.03230769230769231
^^o,z,47,0.07230769230769231
^^p,',1,5.878894767783657e-4
^^p,a,208,0.12228101116990006
^^p,c,4,0.0023515579071134627
^^p,e,308,0.18106995884773663
^^p,i,196,0.11522633744855967
^^p,l,91,0.053497942386831275
^^p,n,5,0.0029394473838918285
^^p,o,438,0.25749559082892415
^^p,r,274,0.1610817166372722
^^p,s,16,0.00940623162845385
^^p,t,5,0.0029394473838918285
^^p,u,80,0.047031158142269255
^^p,y,73,0.042915931804820694
^^p,z,2,0.0011757789535567313
^^q,a,3,1
^^r,a,176,0.2270967741935484
^^r,e,78,0.10064516129032258
^^r,i,56,0.07225806451612904
^^r,o,271,0.3496774193548387
^^r,t,1,0.0012903225806451613
^^r,u,110,0.14193548387096774
^^r,v,1,0.0012903225806451613
^^r,y,76,0.09806451612903226
^^r,z,6,0.007741935483870968
^^s,a,223,0.09485325393449597
^^s,c,5,0.002126754572522331
^^s,e,196,0.08336877924287538
^^s,h,502,0.21352615908124203
^^s,i,87,0.03700552956188856
^^s,k,107,0.045512547851977884
^^s,l,67,0.028498511271799233
^^s,m,81,0.03445342407486176
^^s,n,29,0.01233517652062952
^^s,o,233,0.09910676307954062
^^s,p,27,0.011484474691620587
^^s,r,10,0.004253509145044662
^^s,t,405,0.1722671203743088
^^s,u,166,0.07060825180774138
^^s,v,114,0.04849000425350915
^^s,w,2,8.507018290089324e-4
^^s,y,97,0.04125903870693322
^^t,a,138,0.1547085201793722
^^t,c,1,0.0011210762331838565
^^t,e,152,0.17040358744394618
^^t,h,1,0.0011210762331838565
^^t,i,42,0.04708520179372197
^^t,k,5,0.005605381165919282
^^t,l,1,0.0011210762331838565
^^t,n,1,0.0011210762331838565
^^t,o,121,0.13565022421524664
^^t,r,136,0.15246636771300448
^^t,s,123,0.13789237668161436
^^t,u,90,0.10089686098654709
^^t,v,9,0.010089686098654708
^^t,y,72,0.08071748878923767
^^u,b,7,0.03783783783783784
^^u,c,2,0.010810810810810811
^^u,d,17,0.0918918918918919
^^u,g,6,0.032432432432432434
^^u,h,16,0.08648648648648649
^^u,i,3,0.016216216216216217
^^u,k,17,0.0918918918918919
^^u,l,18,0.0972972972972973
^^u,m,5,0.02702702702702703
^^u,n,8,0.043243243243243246
^^u,p,2,0.010810810810810811
^^u,r,18,0.0972972972972973
^^u,s,35,0.1891891891891892
^^u,t,11,0.05945945945945946
^^u,v,4,0.021621621621621623
^^u,y,2,0.010810810810810811
^^u,z,14,0.07567567567567568
^^v,a,140,0.12411347517730496
^^v,c,1,8.865248226950354e-4
^^v,d,1,8.865248226950354e-4
^^v,e,254,0.225177304964539
^^v,i,180,0.1595744680851064
^^v,l,21,0.018617021276595744
^^v,n,1,8.865248226950354e-4
^^v,o,310,0.274822695035461
^^v,p,1,8.865248226950354e-4
^^v,r,8,0.0070921985815602835
^^v,s,4,0.0035460992907801418
^^v,u,10,0.008865248226950355
^^v,v,1,8.865248226950354e-4
^^v,y,194,0.17198581560283688
^^v,z,2,0.0017730496453900709
^^w,i,1,0.25
^^w,r,1,0.25
^^w,y,2,0.5
^^y,a,284,0.6120689655172413
^^y,e,93,0.20043103448275862
^^y,i,4,0.008620689655172414
^^y,o,8,0.017241379310344827
^^y,u,72,0.15517241379310345
^^y,v,3,0.00646551724137931
^^z,a,494,0.47729468599033814
^^z,b,22,0.021256038647342997
^^z,d,12,0.011594202898550725
^^z,e,48,0.0463768115942029
