prefix,next_char,count,prob
'ab,e,1,1
'ac,q,1,1
'ag,a,1,0.5
'ag,u,1,0.5
'ai,g,1,1
'al,b,5,0.3125
'al,c,2,0.125
'al,d,1,0.0625
'al,e,1,0.0625
'al,g,2,0.125
'al,j,1,0.0625
'al,m,2,0.125
'al,s,1,0.0625
'al,z,1,0.0625
'am,i,1,0.5
'am,p,1,0.5
'ar,a,1,0.07692307692307693
'ar,b,2,0.15384615384615385
'ar,e,3,0.23076923076923078
'ar,g,4,0.3076923076923077
'ar,m,2,0.15384615384615385
'ar,r,1,0.07692307692307693
'at,l,1,1
'av,e,1,1
'do,n,1,1
'ei,x,1,1
'el,i,1,1
'em,p,1,1
'en,c,1,1
'es,c,2,0.11764705882352941
'es,g,1,0.058823529411764705
'es,p,4,0.23529411764705882
'es,q,1,0.058823529411764705
'es,t,9,0.5294117647058824
'eu,c,1,1
'he,m,1,0.3333333333333333
'he,r,2,0.6666666666666666
'ho,r,2,0.6666666666666666
'ho,s,1,0.3333333333333333
'il,l,3,1
'ma,r,1,1
'no,v,1,1
'ol,i,2,0.5
'ol,l,2,0.5
'on,y,1,1
'or,$,1,0.5
'or,e,1,0.5
'um,b,1,1
^^^,a,2088,0.1166154705389556
^^^,b,1546,0.08634459648142977
^^^,c,2061,0.11510751186819324
^^^,d,216,0.012063669366098855
^^^,e,560,0.03127617983803407
^^^,f,560,0.03127617983803407
^^^,g,758,0.042334543423624686
^^^,h,272,0.015191287349902261
^^^,i,311,0.01736944987433678
^^^,j,171,0.00955040491482826
^^^,k,47,0.002624965093549288
^^^,l,982,0.05484501535883831
^^^,m,1516,0.08466908684724937
^^^,n,364,0.020329516894722146
^^^,o,507,0.028316112817648703
^^^,p,1170,0.06534487573303546
^^^,q,109,0.006087685004188774
^^^,r,708,0.03954202736665736
^^^,s,1012,0.05652052499301871
^^^,t,995,0.05557106953364982
^^^,u,249,0.013906729963697292
^^^,v,1395,0.07791119798938843
^^^,w,9,5.026528902541189e-4
^^^,x,47,0.002624965093549288
^^^,y,46,0.0025691147724099415
^^^,z,206,0.01150516615470539
^^a,',1,4.789272030651341e-4
^^a,a,3,0.0014367816091954023
^^a,b,116,0.05555555555555555
^^a,c,52,0.02490421455938697
^^a,d,41,0.019636015325670497
^^a,e,7,0.003352490421455939
^^a,f,1,4.789272030651341e-4
^^a,g,82,0.039272030651340994
^^a,h,5,0.0023946360153256703
^^a,i,48,0.022988505747126436
^^a,j,10,0.004789272030651341
^^a,k,8,0.0038314176245210726
^^a,l,632,0.30268199233716475
^^a,m,86,0.04118773946360153
^^a,n,151,0.07231800766283525
^^a,o,11,0.005268199233716475
^^a,p,17,0.008141762452107279
^^a,q,17,0.008141762452107279
^^a,r,544,0.26053639846743293
^^a,s,72,0.034482758620689655
^^a,t,48,0.022988505747126436
^^a,u,31,0.014846743295019157
^^a,v,18,0.008620689655172414
^^a,x,3,0.0014367816091954023
^^a,y,22,0.01053639846743295
^^a,z,62,0.029693486590038315
^^b,a,416,0.2690815006468305
^^b,b,2,0.00129366106080207
^^b,c,3,0.0019404915912031048
^^b,d,3,0.0019404915912031048
^^b,e,483,0.31241914618369987
^^b,g,2,0.00129366106080207
^^b,i,78,0.050452781371280724
^^b,j,2,0.00129366106080207
^^b,l,25,0.016170763260025874
