prefix,next_char,count,prob
^^^,a,1372,0.106886880648177
^^^,b,240,0.01869741352446245
^^^,c,367,0.028591461514490494
^^^,d,550,0.04284823932689311
^^^,e,274,0.021346213773761297
^^^,f,356,0.027734496727952633
^^^,g,466,0.036304144593331256
^^^,h,31,0.0024150825802430665
^^^,i,96,0.00747896540978498
^^^,j,5,3.8952944842630103e-4
^^^,k,2232,0.17388594577750077
^^^,l,718,0.05593642879401683
^^^,m,1160,0.09037083203490184
^^^,n,257,0.02002181364911187
^^^,o,132,0.010283577438454348
^^^,p,1460,0.1137425989404799
^^^,r,309,0.024072919912745405
^^^,s,1034,0.08055468993455905
^^^,t,682,0.05313181676534746
^^^,u,2,1.558117793705204e-4
^^^,v,739,0.05757245247740729
^^^,x,123,0.009582424431287005
^^^,y,76,0.005920847616079776
^^^,z,155,0.012075412901215332
^^a,b,3,0.002186588921282799
^^a,c,48,0.03498542274052478
^^a,d,24,0.01749271137026239
^^a,e,33,0.024052478134110787
^^a,f,29,0.021137026239067054
^^a,g,137,0.09985422740524781
^^a,h,1,7.288629737609329e-4
^^a,i,30,0.021865889212827987
^^a,k,63,0.04591836734693878
^^a,l,138,0.10058309037900874
^^a,m,126,0.09183673469387756
^^a,n,197,0.14358600583090378
^^a,o,2,0.0014577259475218659
^^a,p,65,0.047376093294460644
^^a,q,3,0.002186588921282799
^^a,r,218,0.1588921282798834
^^a,s,129,0.09402332361516035
^^a,t,54,0.03935860058309038
^^a,u,2,0.0014577259475218659
^^a,v,48,0.03498542274052478
^^a,x,5,0.0036443148688046646
^^a,y,7,0.00510204081632653
^^a,z,10,0.007288629737609329
^^b,a,67,0.2791666666666667
^^b,b,1,0.004166666666666667
^^b,e,35,0.14583333333333334
^^b,f,2,0.008333333333333333
^^b,g,2,0.008333333333333333
^^b,i,11,0.04583333333333333
^^b,k,1,0.004166666666666667
^^b,l,9,0.0375
^^b,m,2,0.008333333333333333
^^b,o,72,0.3
^^b,r,27,0.1125
^^b,s,2,0.008333333333333333
^^b,t,2,0.008333333333333333
^^b,u,3,0.0125
^^b,y,4,0.016666666666666666
^^c,a,23,0.06267029972752043
^^c,e,3,0.008174386920980926
^^c,h,317,0.8637602179836512
^^c,i,1,0.0027247956403269754
^^c,l,2,0.005449591280653951
^^c,o,14,0.03814713896457766
^^c,r,2,0.005449591280653951
^^c,s,1,0.0027247956403269754
^^c,u,1,0.0027247956403269754
^^c,y,3,0.008174386920980926
^^d,a,71,0.1290909090909091
^^d,d,1,0.0018181818181818182
^^d,e,66,0.12
^^d,f,5,0.00909090909090909
^^d,g,1,0.0018181818181818182
^^d,h,88,0.16
^^d,i,114,0.20727272727272728
^^d,k,4,0.007272727272727273
^^d,l,10,0.01818181818181818
^^d,m,4,0.007272727272727273
^^d,n,3,0.005454545454545455
^^d,o,60,0.10909090909090909
^^d,p,1,0.0018181818181818182
^^d,r,104,0.1890909090909091
^^d,s,7,0.012727272727272728
^^d,t,2,0.0036363636363636364
^^d,u,1,0.0018181818181818182
^^d,v,3,0.005454545454545455
^^d,x,1,0.0018181818181818182
^^d,y,4,0.007272727272727273
^^e,a,1,0.0036496350364963502
^^e,c,3,0.010948905109489052
^^e,d,2,0.0072992700729927005
^^e,f,7,0.025547445255474453
^^e,g,6,0.021897810218978103
^^e,i,6,0.021897810218978103
^^e,k,13,0.04744525547445255
^^e,l,93,0.33941605839416056
^^e,m,14,0.051094890510948905
^^e,n,6,0.021897810218978103
^^e,o,1,0.0036496350364963502
^^e,p,23,0.08394160583941605
^^e,r,33,0.12043795620437957
^^e,s,9,0.032846715328467155
^^e,t,4,0.014598540145985401
^^e,u,3,0.010948905109489052
^^e,v,27,0.09854014598540146
^^e,x,21,0.07664233576642336
^^e,z,2,0.0072992700729927005
^^f,a,64,0.1797752808988764
^^f,c,1,0.0028089887640449437
^^f,d,1,0.0028089887640449437
^^f,e,10,0.028089887640449437
^^f,g,1,0.0028089887640449437
^^f,i,50,0.1404494382022472
^^f,k,3,0.008426966292134831
^^f,l,50,0.1404494382022472
^^f,m,1,0.0028089887640449437
^^f,n,3,0.008426966292134831
^^f,o,74,0.20786516853932585
^^f,r,62,0.17415730337078653
^^f,s,3,0.008426966292134831
^^f,t,17,0.047752808988764044
^^f,y,16,0.0449438202247191
^^g,a,98,0.21030042918454936
^^g,b,1,0.002145922746781116
^^g,d,3,0.006437768240343348
^^g,e,64,0.13733905579399142
^^g,f,2,0.004291845493562232
^^g,h,4,0.008583690987124463
^^g,i,59,0.12660944206008584
^^g,k,23,0.04935622317596566
^^g,l,36,0.07725321888412018
^^g,m,1,0.002145922746781116
^^g,n,8,0.017167381974248927
^^g,o,79,0.16952789699570817
^^g,r,65,0.13948497854077252
^^g,s,2,0.004291845493562232
^^g,t,2,0.004291845493562232
^^g,v,5,0.01072961373390558
^^g,y,12,0.02575107296137339
^^g,z,2,0.004291845493562232
^^h,a,7,0.22580645161290322
^^h,e,15,0.4838709677419355
^^h,i,2,0.06451612903225806
^^h,o,5,0.16129032258064516
^^h,y,2,0.06451612903225806
^^i,a,2,0.020833333333333332
^^i,c,1,0.010416666666666666
^^i,d,1,0.010416666666666666
^^i,e,5,0.052083333333333336
^^i,f,1,0.010416666666666666
^^i,g,1,0.010416666666666666
^^i,k,3,0.03125
^^i,l,22,0.22916666666666666
^^i,m,5,0.052083333333333336
^^i,n,3,0.03125
^^i,o,10,0.10416666666666667
^^i,p,9,0.09375
^^i,r,20,0.20833333333333334
^^i,s,7,0.07291666666666667
^^i,t,6,0.0625
^^j,a,3,0.6
^^j,o,1,0.2
^^j,u,1,0.2
^^k,a,846,0.3790322580645161
^^k,c,2,8.960573476702509e-4
^^k,d,7,0.0031362007168458782
^^k,e,117,0.05241935483870968
^^k,f,3,0.0013440860215053765
^^k,h,65,0.029121863799283155
^^k,i,61,0.027329749103942653
^^k,k,12,0.005376344086021506
^^k,l,80,0.035842293906810034
^^k,m,22,0.00985663082437276
^^k,n,29,0.012992831541218637
^^k,o,695,0.31137992831541217
^^k,p,12,0.005376344086021506
^^k,r,172,0.07706093189964158
^^k,s,23,0.010304659498207885
^^k,t,26,0.011648745519713262
^^k,u,2,8.960573476702509e-4
^^k,v,3,0.0013440860215053765
^^k,x,1,4.4802867383512545e-4
^^k,y,51,0.0228494623655914
^^k,z,3,0.0013440860215053765
^^l,a,152,0.2116991643454039
^^l,c,3,0.004178272980501393
^^l,d,2,0.002785515320334262
^^l,e,109,0.15181058495821728
^^l,f,9,0.012534818941504178
^^l,g,6,0.008356545961002786
^^l,i,185,0.2576601671309192
^^l,k,20,0.027855153203342618
^^l,l,5,0.006963788300835654
^^l,m,11,0.01532033426183844
^^l,n,6,0.008356545961002786
^^l,o,106,0.14763231197771587
^^l,p,9,0.012534818941504178
^^l,r,6,0.008356545961002786
^^l,s,9,0.012534818941504178
^^l,t,7,0.009749303621169917
^^l,u,3,0.004178272980501393
^^l,v,9,0.012534818941504178
^^l,y,59,0.08217270194986072
^^l,z,2,0.002785515320334262
^^m,a,445,0.38362068965517243
^^m,b,2,0.0017241379310344827
^^m,c,4,0.0034482758620689655
^^m,d,7,0.00603448275862069
^^m,e,250,0.21551724137931033
^^m,f,2,0.0017241379310344827
^^m,g,5,0.004310344827586207
^^m,i,121,0.10431034482758621
^^m,k,9,0.007758620689655172
^^m,l,18,0.015517241379310345
^^m,m,1,8.620689655172414e-4
^^m,n,18,0.015517241379310345
^^m,o,146,0.12586206896551724
^^m,p,17,0.014655172413793103
^^m,r,25,0.021551724137931036
^^m,s,10,0.008620689655172414
^^m,t,14,0.01206896551724138
^^m,u,1,8.620689655172414e-4
^^m,v,2,0.0017241379310344827
^^m,y,57,0.04913793103448276
^^m,z,6,0.005172413793103448
^^n,a,18,0.07003891050583658
^^n,d,3,0.011673151750972763
^^n,e,72,0.2801556420233463
^^n,f,5,0.019455252918287938
^^n,i,66,0.25680933852140075
^^n,k,4,0.01556420233463035
^^n,m,4,0.01556420233463035
^^n,n,4,0.01556420233463035
^^n,o,15,0.058365758754863814
^^n,p,5,0.019455252918287938
^^n,r,1,0.0038910505836575876
^^n,s,9,0.03501945525291829
^^n,t,35,0.13618677042801555
^^n,v,3,0.011673151750972763
^^n,x,1,0.0038910505836575876
^^n,y,12,0.04669260700389105
^^o,a,3,0.022727272727272728
^^o,c,5,0.03787878787878788
^^o,d,7,0.05303030303030303
^^o,f,1,0.007575757575757576
^^o,i,12,0.09090909090909091
^^o,k,1,0.007575757575757576
^^o,l,15,0.11363636363636363
^^o,m,15,0.11363636363636363
^^o,n,1,0.007575757575757576
^^o,p,2,0.015151515151515152
^^o,r,48,0.36363636363636365
^^o,s,5,0.03787878787878788
^^o,t,5,0.03787878787878788
^^o,u,5,0.03787878787878788
^^o,v,2,0.015151515151515152
^^o,x,4,0.030303030303030304
^^o,z,1,0.007575757575757576
^^p,a,417,0.2856164383561644
^^p,c,4,0.0027397260273972603
^^p,d,7,0.004794520547945206
^^p,e,268,0.18356164383561643
^^p,f,5,0.003424657534246575
^^p,g,3,0.002054794520547945
^^p,h,15,0.010273972602739725
^^p,i,92,0.06301369863013699
^^p,k,4,0.0027397260273972603
^^p,l,141,0.09657534246575343
^^p,m,4,0.0027397260273972603
^^p,n,16,0.010958904109589041
^^p,o,180,0.1232876712328767
^^p,p,5,0.003424657534246575
^^p,r,145,0.09931506849315068
^^p,s,83,0.05684931506849315
^^p,t,27,0.018493150684931507
^^p,u,1,6.849315068493151e-4
^^p,v,5,0.003424657534246575
^^p,x,1,6.849315068493151e-4
^^p,y,37,0.025342465753424658
^^r,a,56,0.18122977346278318
^^r,c,3,0.009708737864077669
^^r,d,8,0.025889967637540454
^^r,e,32,0.10355987055016182
^^r,f,4,0.012944983818770227
^^r,g,8,0.025889967637540454
^^r,h,3,0.009708737864077669
^^r,i,40,0.12944983818770225
^^r,k,6,0.019417475728155338
^^r,l,2,0.006472491909385114
^^r,m,7,0.022653721682847898
^^r,n,8,0.025889967637540454
^^r,o,103,0.3333333333333333
^^r,p,3,0.009708737864077669
^^r,s,2,0.006472491909385114
^^r,t,4,0.012944983818770227
^^r,u,1,0.003236245954692557
^^r,v,5,0.016181229773462782
^^r,x,1,0.003236245954692557
^^r,y,5,0.016181229773462782
^^r,z,8,0.025889967637540454
^^s,a,103,0.09961315280464217
^^s,c,18,0.017408123791102514
^^s,d,4,0.0038684719535783366
^^s,e,58,0.05609284332688588
^^s,f,30,0.029013539651837523
^^s,g,10,0.009671179883945842
^^s,i,88,0.0851063829787234
^^s,k,192,0.18568665377176016
^^s,l,16,0.015473887814313346
^^s,m,26,0.025145067698259187
^^s,n,7,0.006769825918762089
^^s,o,101,0.097678916827853
^^s,p,91,0.08800773694390715
^^s,r,12,0.01160541586073501
^^s,s,12,0.01160541586073501
^^s,t,207,0.20019342359767892
^^s,u,12,0.01160541586073501
^^s,v,11,0.010638297872340425
^^s,y,36,0.03481624758220503
^^t,a,43,0.06304985337243402
^^t,c,1,0.001466275659824047
^^t,e,31,0.045454545454545456
^^t,h,137,0.20087976539589442
^^t,i,18,0.026392961876832845
^^t,k,1,0.001466275659824047
^^t,l,5,0.007331378299120235
^^t,m,4,0.005865102639296188
^^t,n,2,0.002932551319648094
^^t,o,52,0.07624633431085044
^^t,p,1,0.001466275659824047
^^t,r,173,0.2536656891495601
^^t,s,160,0.23460410557184752
^^t,t,3,0.004398826979472141
^^t,u,2,0.002932551319648094
^^t,v,3,0.004398826979472141
^^t,w,1,0.001466275659824047
^^t,x,1,0.001466275659824047
^^t,y,6,0.008797653958944282
^^t,z,38,0.05571847507331378
^^u,l,1,0.5
^^u,u,1,0.5
^^v,a,201,0.2719891745602165
^^v,c,1,0.0013531799729364006
^^v,d,6,0.008119079837618403
^^v,e,83,0.11231393775372124
^^v,g,5,0.006765899864682003
^^v,i,40,0.05412719891745602
^^v,k,2,0.0027063599458728013
^^v,l,74,0.10013531799729364
^^v,m,3,0.0040595399188092015
^^v,n,12,0.016238159675236806
^^v,o,138,0.18673883626522328
^^v,r,132,0.17861975642760486
^^v,s,7,0.009472259810554804
^^v,t,15,0.02029769959404601
^^v,v,4,0.005412719891745603
^^v,y,13,0.017591339648173207
^^v,z,3,0.0040595399188092015
^^x,a,12,0.0975609756097561
^^x,c,1,0.008130081300813009
^^x,e,40,0.3252032520325203
^^x,g,2,0.016260162601626018
^^x,i,48,0.3902439024390244
^^x,l,1,0.008130081300813009
^^x,m,1,0.008130081300813009
^^x,n,2,0.016260162601626018
^^x,o,3,0.024390243902439025
^^x,y,13,0.10569105691056911
^^y,a,5,0.06578947368421052
^^y,d,5,0.06578947368421052
^^y,e,17,0.2236842105263158
^^y,f,1,0.013157894736842105
^^y,i,24,0.3157894736842105
^^y,l,2,0.02631578947368421
^^y,m,2,0.02631578947368421
^^y,n,3,0.039473684210526314
^^y,p,12,0.15789473684210525
^^y,r,4,0.05263157894736842
^^y,s,1,0.013157894736842105
^^z,a,49,0.3161290322580645
^^z,e,27,0.17419354838709677
^^z,f,1,0.0064516129032258064
^^z,g,2,0.012903225806451613
^^z,i,14,0.09032258064516129
^^z,k,2,0.012903225806451613
^^z,l,4,0.025806451612903226
^^z,m,2,0.012903225806451613
^^z,n,3,0.01935483870967742
^^z,o,31,0.2
^^z,p,2,0.012903225806451613
^^z,r,7,0.04516129032258064
^^z,s,3,0.01935483870967742
^^z,t,2,0.012903225806451613
^^z,v,2,0.012903225806451613
^^z,y,3,0.01935483870967742
^^z,z,1,0.0064516129032258064
^ab,c,1,0.3333333333333333
^ab,e,1,0.3333333333333333
^ab,i,1,0.3333333333333333
^ac,h,41,0.8541666666666666
^ac,l,1,0.020833333333333332
^ac,q,1,0.020833333333333332
^ac,r,4,0.08333333333333333
^ac,t,1,0.020833333333333332
^ad,a,3,0.125
^ad,e,1,0.041666666666666664
^ad,h,6,0.25
^ad,i,2,0.08333333333333333
^ad,m,4,0.16666666666666666
^ad,o,1,0.041666666666666664
^ad,r,7,0.2916666666666667
^ae,g,6,0.18181818181818182
^ae,l,1,0.030303030303030304
^ae,o,2,0.06060606060606061
^ae,r,7,0.21212121212121213
^ae,t,17,0.5151515151515151
^af,a,1,0.034482758620689655
^af,e,2,0.06896551724137931
^af,i,4,0.13793103448275862
^af,k,1,0.034482758620689655
^af,l,2,0.06896551724137931
^af,n,2,0.06896551724137931
^af,r,14,0.4827586206896552
^af,t,2,0.06896551724137931
^af,x,1,0.034482758620689655
^ag,a,12,0.08759124087591241
^ag,d,1,0.0072992700729927005
^ag,e,5,0.0364963503649635
^ag,g,2,0.014598540145985401
^ag,h,4,0.029197080291970802
^ag,i,24,0.17518248175182483
^ag,k,14,0.10218978102189781
^ag,l,2,0.014598540145985401
^ag,n,8,0.058394160583941604
^ag,o,3,0.021897810218978103
^ag,p,1,0.0072992700729927005
^ag,r,60,0.43795620437956206
^ag,t,1,0.0072992700729927005
^ah,a,1,1
^ai,a,1,0.03333333333333333
^ai,d,8,0.26666666666666666
^ai,g,8,0.26666666666666666
^ai,l,1,0.03333333333333333
^ai,m,2,0.06666666666666667
^ai,n,2,0.06666666666666667
^ai,o,2,0.06666666666666667
^ai,p,1,0.03333333333333333
^ai,s,1,0.03333333333333333
^ai,t,2,0.06666666666666667
^ai,x,1,0.03333333333333333
^ai,y,1,0.03333333333333333
^ak,a,4,0.06349206349206349
^ak,b,1,0.015873015873015872
^ak,d,1,0.015873015873015872
^ak,h,11,0.1746031746031746
^ak,k,1,0.015873015873015872
^ak,m,1,0.015873015873015872
^ak,n,1,0.015873015873015872
^ak,o,4,0.06349206349206349
^ak,r,33,0.5238095238095238
^ak,t,5,0.07936507936507936
^ak,y,1,0.015873015873015872
^al,a,19,0.13768115942028986
^al,b,2,0.014492753623188406
^al,c,1,0.007246376811594203
^al,d,1,0.007246376811594203
^al,e,27,0.1956521739130435
^al,f,4,0.028985507246376812
^al,g,1,0.007246376811594203
^al,i,17,0.12318840579710146
^al,k,14,0.10144927536231885
^al,l,1,0.007246376811594203
^al,m,11,0.07971014492753623
^al,n,4,0.028985507246376812
^al,o,21,0.15217391304347827
^al,p,2,0.014492753623188406
^al,s,3,0.021739130434782608
^al,t,2,0.014492753623188406
^al,x,2,0.014492753623188406
^al,y,6,0.043478260869565216
^am,a,13,0.10317460317460317
^am,b,12,0.09523809523809523
^am,d,1,0.007936507936507936
^am,e,2,0.015873015873015872
^am,f,9,0.07142857142857142
^am,g,2,0.015873015873015872
^am,i,10,0.07936507936507936
^am,k,1,0.007936507936507936
^am,l,2,0.015873015873015872
^am,m,19,0.15079365079365079
^am,n,3,0.023809523809523808
^am,o,7,0.05555555555555555
^am,p,24,0.19047619047619047
^am,r,6,0.047619047619047616
^am,t,1,0.007936507936507936
^am,v,2,0.015873015873015872
^am,y,12,0.09523809523809523
