prefix,next_char,count,prob
^^^,a,24,0.02888086642599278
^^^,b,106,0.12755716004813478
^^^,c,26,0.031287605294825514
^^^,d,32,0.03850782190132371
^^^,e,30,0.036101083032490974
^^^,f,34,0.04091456077015644
^^^,g,53,0.06377858002406739
^^^,h,86,0.10348977135980746
^^^,i,7,0.00842358604091456
^^^,j,9,0.010830324909747292
^^^,k,53,0.06377858002406739
^^^,l,46,0.05535499398315283
^^^,m,47,0.056558363417569195
^^^,n,30,0.036101083032490974
^^^,o,20,0.024067388688327317
^^^,p,24,0.02888086642599278
^^^,r,42,0.05054151624548736
^^^,s,72,0.08664259927797834
^^^,t,18,0.021660649819494584
^^^,u,9,0.010830324909747292
^^^,v,4,0.0048134777376654635
^^^,w,55,0.06618531889290012
^^^,y,1,0.0012033694344163659
^^^,z,3,0.0036101083032490976
^^a,a,1,0.041666666666666664
^^a,b,1,0.041666666666666664
^^a,c,1,0.041666666666666664
^^a,e,2,0.08333333333333333
^^a,h,1,0.041666666666666664
^^a,l,10,0.4166666666666667
^^a,m,1,0.041666666666666664
^^a,n,2,0.08333333333333333
^^a,r,1,0.041666666666666664
^^a,s,4,0.16666666666666666
^^b,a,7,0.0660377358490566
^^b,e,29,0.27358490566037735
^^b,i,18,0.16981132075471697
^^b,l,3,0.02830188679245283
^^b,o,21,0.19811320754716982
^^b,r,17,0.16037735849056603
^^b,u,10,0.09433962264150944
^^b,z,1,0.009433962264150943
^^c,a,5,0.19230769230769232
^^c,e,2,0.07692307692307693
^^c,h,1,0.038461538461538464
^^c,i,1,0.038461538461538464
^^c,l,8,0.3076923076923077
^^c,o,6,0.23076923076923078
^^c,r,3,0.11538461538461539
^^d,a,4,0.125
^^d,e,6,0.1875
^^d,i,9,0.28125
^^d,o,8,0.25
^^d,r,3,0.09375
^^d,u,2,0.0625
^^e,c,1,0.03333333333333333
^^e,h,4,0.13333333333333333
^^e,i,5,0.16666666666666666
^^e,l,4,0.13333333333333333
^^e,m,1,0.03333333333333333
^^e,n,2,0.06666666666666667
^^e,p,1,0.03333333333333333
^^e,r,5,0.16666666666666666
^^e,s,5,0.16666666666666666
^^e,t,1,0.03333333333333333
^^e,v,1,0.03333333333333333
^^f,e,6,0.17647058823529413
^^f,i,6,0.17647058823529413
^^f,l,5,0.14705882352941177
^^f,n,1,0.029411764705882353
^^f,o,6,0.17647058823529413
^^f,r,9,0.2647058823529412
^^f,u,1,0.029411764705882353
^^g,a,9,0.16981132075471697
^^g,e,5,0.09433962264150944
^^g,i,4,0.07547169811320754
^^g,o,11,0.20754716981132076
^^g,r,22,0.41509433962264153
^^g,u,2,0.03773584905660377
^^h,a,21,0.2441860465116279
^^h,e,21,0.2441860465116279
^^h,i,7,0.08139534883720931
^^h,o,27,0.313953488372093
^^h,t,1,0.011627906976744186
^^h,u,9,0.10465116279069768
^^i,m,2,0.2857142857142857
^^i,n,2,0.2857142857142857
^^i,r,1,0.14285714285714285
^^i,t,2,0.2857142857142857
^^j,a,1,0.1111111111111111
^^j,e,1,0.1111111111111111
^^j,n,1,0.1111111111111111
^^j,o,3,0.3333333333333333
^^j,u,3,0.3333333333333333
^^k,a,13,0.24528301886792453
^^k,e,6,0.11320754716981132
^^k,i,7,0.1320754716981132
^^k,l,4,0.07547169811320754
^^k,m,1,0.018867924528301886
^^k,n,3,0.05660377358490566
^^k,o,12,0.22641509433962265
^^k,r,6,0.11320754716981132
^^k,u,1,0.018867924528301886
^^l,a,14,0.30434782608695654
^^l,c,1,0.021739130434782608
^^l,e,14,0.30434782608695654
^^l,i,9,0.1956521739130435
^^l,o,4,0.08695652173913043
^^l,r,1,0.021739130434782608
^^l,u,3,0.06521739130434782
^^m,a,14,0.2978723404255319
^^m,e,14,0.2978723404255319
^^m,i,6,0.1276595744680851
^^m,l,2,0.0425531914893617
^^m,n,2,0.0425531914893617
^^m,o,7,0.14893617021276595
^^m,u,2,0.0425531914893617
^^n,a,3,0.1
^^n,e,9,0.3
^^n,i,10,0.3333333333333333
^^n,o,8,0.26666666666666666
^^o,b,11,0.55
^^o,e,3,0.15
^^o,h,1,0.05
^^o,l,2,0.1
^^o,p,1,0.05
^^o,s,2,0.1
^^p,a,4,0.16666666666666666
^^p,e,4,0.16666666666666666
^^p,f,1,0.041666666666666664
^^p,i,2,0.08333333333333333
^^p,l,3,0.125
^^p,o,4,0.16666666666666666
^^p,r,2,0.08333333333333333
^^p,t,2,0.08333333333333333
^^p,u,2,0.08333333333333333
^^r,a,3,0.07142857142857142
^^r,e,14,0.3333333333333333
^^r,i,5,0.11904761904761904
^^r,o,17,0.40476190476190477
^^r,u,3,0.07142857142857142
^^s,a,6,0.08333333333333333
^^s,c,36,0.5
^^s,e,6,0.08333333333333333
^^s,i,4,0.05555555555555555
^^s,o,3,0.041666666666666664
^^s,p,1,0.013888888888888888
^^s,t,13,0.18055555555555555
^^s,u,1,0.013888888888888888
^^s,y,2,0.027777777777777776
^^t,a,4,0.2222222222222222
^^t,h,1,0.05555555555555555
^^t,i,2,0.1111111111111111
^^t,o,2,0.1111111111111111
^^t,r,4,0.2222222222222222
^^t,t,2,0.1111111111111111
^^t,u,3,0.16666666666666666
^^u,e,3,0.3333333333333333
^^u,n,3,0.3333333333333333
^^u,r,2,0.2222222222222222
^^u,s,1,0.1111111111111111
^^v,e,1,0.25
^^v,i,2,0.5
^^v,u,1,0.25
^^w,a,15,0.2727272727272727
^^w,e,20,0.36363636363636365
^^w,i,11,0.2
^^w,o,8,0.14545454545454545
^^w,u,1,0.01818181818181818
^^y,a,1,1
^^z,a,2,0.6666666666666666
^^z,i,1,0.3333333333333333
^aa,l,1,1
^ab,w,1,1
^ac,i,1,1
^ae,c,1,0.5
^ae,s,1,0.5
^ah,n,1,1
^al,b,1,0.1
^al,e,1,0.1
^al,l,1,0.1
^al,r,1,0.1
^al,s,1,0.1
^al,t,3,0.3
^al,z,2,0.2
^am,b,1,1
^an,g,1,0.5
^an,s,1,0.5
^ar,s,1,1
^as,p,1,0.25
^as,s,3,0.75
^ba,m,1,0.14285714285714285
^ba,n,1,0.14285714285714285
^ba,s,4,0.5714285714285714
^ba,v,1,0.14285714285714285
^be,a,1,0.034482758620689655
^be,c,2,0.06896551724137931
^be,g,1,0.034482758620689655
^be,h,1,0.034482758620689655
^be,i,3,0.10344827586206896
^be,l,3,0.10344827586206896
^be,r,12,0.41379310344827586
^be,t,5,0.1724137931034483
^be,y,1,0.034482758620689655
^bi,c,1,0.05555555555555555
^bi,e,2,0.1111111111111111
^bi,g,2,0.1111111111111111
^bi,l,3,0.16666666666666666
^bi,n,1,0.05555555555555555
^bi,r,2,0.1111111111111111
^bi,s,2,0.1111111111111111
^bi,v,2,0.1111111111111111
^bi,w,3,0.16666666666666666
^bl,a,1,0.3333333333333333
^bl,e,1,0.3333333333333333
^bl,u,1,0.3333333333333333
^bo,c,2,0.09523809523809523
^bo,e,1,0.047619047619047616
^bo,f,1,0.047619047619047616
^bo,h,1,0.047619047619047616
^bo,m,1,0.047619047619047616
^bo,n,2,0.09523809523809523
^bo,r,2,0.09523809523809523
^bo,u,10,0.47619047619047616
^bo,x,1,0.047619047619047616
^br,a,6,0.35294117647058826
^br,c,1,0.058823529411764705
^br,e,5,0.29411764705882354
^br,i,2,0.11764705882352941
^br,o,2,0.11764705882352941
^br,u,1,0.058823529411764705
^bu,c,1,0.1
^bu,d,2,0.2
^bu,e,1,0.1
^bu,r,3,0.3
^bu,s,2,0.2
^bu,u,1,0.1
^bz,e,1,1
^ca,l,1,0.2
^ca,n,1,0.2
^ca,p,2,0.4
^ca,r,1,0.2
^ce,n,1,0.5
^ce,s,1,0.5
^ch,r,1,1
^ci,n,1,1
^cl,a,3,0.375
^cl,e,4,0.5
^cl,o,1,0.125
^co,l,3,0.5
^co,n,3,0.5
^cr,a,1,0.3333333333333333
^cr,e,1,0.3333333333333333
^cr,u,1,0.3333333333333333
^da,h,2,0.5
^da,l,1,0.25
^da,u,1,0.25
^de,i,1,0.16666666666666666
^de,l,4,0.6666666666666666
^de,r,1,0.16666666666666666
^di,c,1,0.1111111111111111
^di,e,2,0.2222222222222222
^di,f,1,0.1111111111111111
