prefix,next_char,count,prob
'ad,m,1,1
'ar,k,1,1
'he,e,1,1
'ol,i,1,1
'or,a,2,1
^^^,a,429,0.03800159447249535
^^^,b,1190,0.10541234830365843
^^^,c,166,0.014704579679333864
^^^,d,443,0.03924173974665604
^^^,e,417,0.036938612808929044
^^^,f,137,0.012135707325715298
^^^,g,436,0.038621667109575694
^^^,h,1025,0.09079635042962175
^^^,i,90,0.007972362476747276
^^^,j,108,0.009566834972096731
^^^,k,772,0.0683851536894322
^^^,l,539,0.04774559305518646
^^^,m,694,0.061475772876251215
^^^,n,387,0.034281158650013285
^^^,o,482,0.04269643015324652
^^^,p,371,0.03286384976525822
^^^,q,9,7.972362476747276e-4
^^^,r,467,0.04136770307378864
^^^,s,992,0.08787315085481442
^^^,t,327,0.02896625033218177
^^^,u,74,0.006555053591992205
^^^,v,560,0.049605810966427494
^^^,w,735,0.06510762689343609
^^^,y,8,7.086544423775356e-4
^^^,z,431,0.03817875808308974
^^a,a,54,0.1258741258741259
^^a,b,23,0.053613053613053616
^^a,c,35,0.08158508158508158
^^a,d,19,0.04428904428904429
^^a,e,9,0.02097902097902098
^^a,f,5,0.011655011655011656
^^a,g,7,0.016317016317016316
^^a,i,2,0.004662004662004662
^^a,j,1,0.002331002331002331
^^a,k,13,0.030303030303030304
^^a,l,54,0.1258741258741259
^^a,m,53,0.12354312354312354
^^a,n,53,0.12354312354312354
^^a,p,12,0.027972027972027972
^^a,r,36,0.08391608391608392
^^a,s,23,0.053613053613053616
^^a,t,3,0.006993006993006993
^^a,u,13,0.030303030303030304
^^a,v,7,0.016317016317016316
^^a,x,2,0.004662004662004662
^^a,y,2,0.004662004662004662
^^a,z,3,0.006993006993006993
^^b,a,170,0.14285714285714285
^^b,e,271,0.22773109243697479
^^b,i,94,0.07899159663865546
^^b,l,78,0.06554621848739496
^^b,o,265,0.22268907563025211
^^b,r,206,0.173109243697479
^^b,u,106,0.08907563025210084
^^c,a,58,0.3493975903614458
^^c,e,7,0.04216867469879518
^^c,h,14,0.08433734939759036
^^c,i,3,0.018072289156626505
^^c,l,8,0.04819277108433735
^^c,o,52,0.3132530120481928
^^c,r,20,0.12048192771084337
^^c,u,4,0.024096385542168676
^^d,',6,0.013544018058690745
^^d,a,43,0.09706546275395034
^^d,e,62,0.1399548532731377
^^d,i,93,0.20993227990970656
^^d,j,1,0.002257336343115124
^^d,o,95,0.2144469525959368
^^d,r,78,0.17607223476297967
^^d,s,1,0.002257336343115124
^^d,u,48,0.10835214446952596
^^d,w,14,0.03160270880361174
^^d,y,2,0.004514672686230248
^^e,a,6,0.014388489208633094
^^e,b,3,0.007194244604316547
^^e,c,10,0.023980815347721823
^^e,d,11,0.026378896882494004
^^e,e,84,0.2014388489208633
^^e,f,1,0.002398081534772182
^^e,g,11,0.026378896882494004
^^e,i,32,0.07673860911270983
^^e,k,8,0.019184652278177457
^^e,l,68,0.1630695443645084
^^e,m,29,0.06954436450839328
^^e,n,39,0.09352517985611511
^^e,p,10,0.023980815347721823
^^e,r,15,0.03597122302158273
^^e,s,29,0.06954436450839328
^^e,t,5,0.011990407673860911
^^e,u,17,0.0407673860911271
^^e,v,18,0.04316546762589928
^^e,w,5,0.011990407673860911
^^e,x,9,0.02158273381294964
^^e,y,5,0.011990407673860911
^^e,z,2,0.004796163069544364
^^f,a,10,0.072992700729927
^^f,e,16,0.11678832116788321
^^f,i,11,0.08029197080291971
^^f,l,23,0.1678832116788321
^^f,o,34,0.24817518248175183
^^f,r,42,0.30656934306569344
^^f,u,1,0.0072992700729927005
^^g,a,73,0.16743119266055045
^^g,e,116,0.26605504587155965
^^g,h,1,0.0022935779816513763
^^g,i,29,0.06651376146788991
^^g,l,5,0.011467889908256881
^^g,n,1,0.0022935779816513763
^^g,o,69,0.15825688073394495
^^g,r,133,0.30504587155963303
^^g,u,8,0.01834862385321101
^^g,y,1,0.0022935779816513763
^^h,a,236,0.2302439024390244
^^h,c,1,9.75609756097561e-4
^^h,e,325,0.3170731707317073
^^h,f,1,9.75609756097561e-4
^^h,i,54,0.05268292682926829
^^h,n,1,9.75609756097561e-4
^^h,o,325,0.3170731707317073
^^h,u,82,0.08
^^i,c,1,0.011111111111111112
^^i,d,8,0.08888888888888889
^^i,j,42,0.4666666666666667
^^i,k,1,0.011111111111111112
^^i,l,3,0.03333333333333333
^^i,m,10,0.1111111111111111
^^i,n,15,0.16666666666666666
^^i,r,1,0.011111111111111112
^^i,s,4,0.044444444444444446
^^i,t,5,0.05555555555555555
^^j,a,37,0.3425925925925926
^^j,e,10,0.09259259259259259
^^j,i,10,0.09259259259259259
^^j,o,33,0.3055555555555556
^^j,u,18,0.16666666666666666
^^k,a,145,0.1878238341968912
^^k,b,1,0.0012953367875647669
^^k,e,109,0.1411917098445596
^^k,i,50,0.06476683937823834
^^k,l,88,0.11398963730569948
^^k,n,13,0.01683937823834197
^^k,o,185,0.23963730569948186
^^k,r,130,0.16839378238341968
^^k,u,38,0.04922279792746114
^^k,w,11,0.014248704663212436
^^k,y,2,0.0025906735751295338
^^l,a,155,0.287569573283859
^^l,e,137,0.2541743970315399
^^l,h,4,0.0074211502782931356
^^l,i,86,0.15955473098330242
^^l,o,95,0.17625231910946196
^^l,u,58,0.10760667903525047
^^l,y,4,0.0074211502782931356
^^m,a,240,0.345821325648415
^^m,c,1,0.001440922190201729
^^m,e,163,0.23487031700288186
^^m,h,4,0.005763688760806916
^^m,i,90,0.12968299711815562
^^m,n,1,0.001440922190201729
^^m,o,144,0.207492795389049
^^m,u,50,0.07204610951008646
^^m,z,1,0.001440922190201729
^^n,a,26,0.06718346253229975
^^n,e,51,0.13178294573643412
^^n,i,127,0.3281653746770026
^^n,o,161,0.4160206718346253
^^n,u,20,0.05167958656330749
^^n,y,2,0.00516795865633075
^^o,b,6,0.012448132780082987
^^o,c,6,0.012448132780082987
^^o,d,7,0.014522821576763486
^^o,e,20,0.04149377593360996
^^o,f,6,0.012448132780082987
^^o,i,5,0.01037344398340249
^^o,k,3,0.006224066390041493
^^o,l,38,0.07883817427385892
^^o,m,15,0.03112033195020747
^^o,n,22,0.04564315352697095
^^o,o,161,0.33402489626556015
^^o,p,21,0.043568464730290454
^^o,r,27,0.056016597510373446
^^o,s,27,0.056016597510373446
^^o,t,11,0.022821576763485476
^^o,u,58,0.12033195020746888
^^o,v,48,0.0995850622406639
^^o,x,1,0.002074688796680498
^^p,a,113,0.3045822102425876
^^p,e,59,0.15902964959568733
^^p,h,4,0.01078167115902965
^^p,i,38,0.10242587601078167
^^p,l,31,0.08355795148247978
^^p,n,1,0.0026954177897574125
^^p,o,67,0.18059299191374664
^^p,r,33,0.0889487870619946
^^p,t,1,0.0026954177897574125
^^p,u,22,0.05929919137466307
^^p,y,2,0.005390835579514825
^^q,u,9,1
^^r,a,71,0.15203426124197003
^^r,e,89,0.1905781584582441
^^r,h,19,0.04068522483940043
^^r,i,108,0.23126338329764454
^^r,o,127,0.27194860813704497
^^r,u,52,0.11134903640256959
^^r,y,1,0.0021413276231263384
^^s,a,39,0.03931451612903226
^^s,c,270,0.2721774193548387
^^s,e,30,0.03024193548387097
^^s,h,1,0.0010080645161290322
^^s,i,47,0.047379032258064516
^^s,j,1,0.0010080645161290322
^^s,k,8,0.008064516129032258
^^s,l,82,0.08266129032258064
^^s,m,30,0.03024193548387097
^^s,n,23,0.023185483870967742
^^s,o,44,0.04435483870967742
^^s,p,115,0.1159274193548387
^^s,t,262,0.26411290322580644
^^s,u,23,0.023185483870967742
^^s,w,14,0.014112903225806451
^^s,y,3,0.0030241935483870967
^^t,a,23,0.07033639143730887
^^t,e,77,0.23547400611620795
^^t,h,17,0.05198776758409786
^^t,i,40,0.12232415902140673
^^t,j,20,0.06116207951070336
^^t,n,1,0.0030581039755351682
^^t,o,48,0.14678899082568808
^^t,r,38,0.1162079510703364
^^t,s,2,0.0061162079510703364
^^t,u,31,0.09480122324159021
^^t,w,23,0.07033639143730887
^^t,y,3,0.009174311926605505
^^t,z,4,0.012232415902140673
^^u,b,4,0.05405405405405406
^^u,d,4,0.05405405405405406
^^u,f,5,0.06756756756756757
^^u,g,1,0.013513513513513514
^^u,i,26,0.35135135135135137
^^u,l,13,0.17567567567567569
^^u,n,3,0.04054054054054054
^^u,p,1,0.013513513513513514
^^u,r,11,0.14864864864864866
^^u,s,5,0.06756756756756757
^^u,t,1,0.013513513513513514
^^v,a,61,0.10892857142857143
^^v,e,162,0.2892857142857143
^^v,i,84,0.15
^^v,l,70,0.125
^^v,o,116,0.20714285714285716
^^v,r,53,0.09464285714285714
^^v,u,14,0.025
^^w,a,159,0.2163265306122449
^^w,e,279,0.3795918367346939
^^w,h,1,0.0013605442176870747
^^w,i,201,0.27346938775510204
^^w,j,1,0.0013605442176870747
^^w,l,1,0.0013605442176870747
^^w,o,83,0.11292517006802721
^^w,t,1,0.0013605442176870747
^^w,u,7,0.009523809523809525
^^w,x,1,0.0013605442176870747
^^w,y,1,0.0013605442176870747
^^y,d,1,0.125
^^y,e,2,0.25
^^y,p,2,0.25
^^y,s,2,0.25
^^y,t,1,0.125
^^z,a,70,0.16241299303944315
^^z,e,75,0.1740139211136891
^^z,i,41,0.0951276102088167
^^z,o,42,0.09744779582366589
^^z,u,131,0.3039443155452436
^^z,w,72,0.16705336426914152
^aa,b,1,0.018518518518518517
^aa,d,1,0.018518518518518517
^aa,f,1,0.018518518518518517
^aa,g,3,0.05555555555555555
^aa,l,23,0.42592592592592593
^aa,m,2,0.037037037037037035
^aa,n,6,0.1111111111111111
^aa,r,14,0.25925925925925924
^aa,s,3,0.05555555555555555
^ab,b,12,0.5217391304347826
^ab,c,3,0.13043478260869565
^ab,d,1,0.043478260869565216
^ab,s,4,0.17391304347826086
^ab,t,3,0.13043478260869565
^ac,h,33,0.9428571428571428
^ac,q,1,0.02857142857142857
^ac,t,1,0.02857142857142857
^ad,a,2,0.10526315789473684
^ad,d,2,0.10526315789473684
^ad,e,4,0.21052631578947367
^ad,o,4,0.21052631578947367
^ad,r,2,0.10526315789473684
^ad,u,4,0.21052631578947367
^ad,v,1,0.05263157894736842
^ae,g,1,0.1111111111111111
^ae,k,1,0.1111111111111111
^ae,n,1,0.1111111111111111
^ae,o,1,0.1111111111111111
^ae,r,3,0.3333333333333333
^ae,s,1,0.1111111111111111
^ae,y,1,0.1111111111111111
^af,f,1,0.2
^af,h,1,0.2
^af,s,1,0.2
^af,v,1,0.2
^af,w,1,0.2
^ag,e,1,0.14285714285714285
^ag,n,4,0.5714285714285714
^ag,o,2,0.2857142857142857
^ai,d,1,0.5
^ai,j,1,0.5
^aj,a,1,1
^ak,e,2,0.15384615384615385
^ak,k,9,0.6923076923076923
