prefix,next_char,count,prob
'an,$,2,0.2
'an,n,8,0.8
'ar,g,1,1
'ba,$,1,0.25
'ba,g,1,0.25
'ba,l,2,0.5
'be,$,1,1
'bm,a,1,1
'ck,k,1,1
'de,g,1,0.3333333333333333
'de,l,2,0.6666666666666666
'dn,a,1,0.25
'dn,e,2,0.5
'dn,j,1,0.25
'ga,l,1,1
'ge,m,1,0.5
'ge,s,1,0.5
'gi,r,1,1
'ha,l,1,1
'ka,$,3,1
'ke,b,1,0.25
'ke,g,1,0.25
'ke,s,2,0.5
'ki,$,2,0.6666666666666666
'ki,n,1,0.3333333333333333
'ko,a,1,1
'la,r,1,1
'le,g,1,1
'li,$,1,1
'lj,e,1,1
'lo,a,1,1
'ma,t,1,1
'oa,i,1,1
'pe,g,3,0.75
'pe,n,1,0.25
'ra,m,1,1
'ri,$,1,1
'ro,a,1,1
'sa,$,1,1
'se,b,1,1
'te,n,1,0.5
'te,r,1,0.5
'um,u,1,1
'va,s,1,1
'vi,$,20,1
'zi,$,1,1
^^^,a,7080,0.021717724792255238
^^^,b,28189,0.08646905991085917
^^^,c,148,4.539863374652225e-4
^^^,d,8289,0.025426302373305603
^^^,e,6886,0.02112263459314542
^^^,f,14980,0.04595077929208806
^^^,g,21888,0.06714089834080264
^^^,h,27072,0.083042690053098
^^^,i,2778,0.008521446253232352
^^^,j,5277,0.016187066910837697
^^^,k,28748,0.08818377857736633
^^^,l,21561,0.06613783393302475
^^^,m,15565,0.04774525231517695
^^^,n,10273,0.0315121732755421
^^^,o,5731,0.0175797006757648
^^^,p,4248,0.013030634875353143
^^^,q,1,3.0674752531433952e-6
^^^,r,20000,0.061349505062867904
^^^,s,59320,0.1819626320164662
^^^,t,17621,0.054051981435639766
^^^,u,3193,0.009794448483286861
^^^,v,14818,0.045453848301078834
^^^,w,53,1.6257618841659995e-4
^^^,y,2279,0.0069907761019137975
^^^,z,3,9.202425759430186e-6
^^a,a,72,0.010169491525423728
^^a,b,162,0.02288135593220339
^^a,c,20,0.002824858757062147
^^a,d,112,0.015819209039548022
^^a,e,4,5.649717514124294e-4
^^a,f,21,0.0029661016949152543
^^a,g,121,0.01709039548022599
^^a,h,20,0.002824858757062147
^^a,i,54,0.007627118644067797
^^a,j,16,0.0022598870056497176
^^a,k,367,0.05183615819209039
^^a,l,1145,0.1617231638418079
^^a,m,225,0.03177966101694915
^^a,n,1130,0.1596045197740113
^^a,o,3,4.23728813559322e-4
^^a,p,141,0.019915254237288134
^^a,r,593,0.08375706214689266
^^a,s,902,0.12740112994350283
^^a,t,121,0.01709039548022599
^^a,u,1579,0.2230225988700565
^^a,v,264,0.03728813559322034
^^a,z,8,0.0011299435028248588
^^b,a,2592,0.09195076093511653
^^b,b,66,0.0023413388201071338
^^b,c,10,3.5474830607683846e-4
^^b,d,48,0.0017027918691688247
^^b,e,3487,0.12370073432899358
^^b,f,20,7.094966121536769e-4
^^b,g,53,0.001880166022207244
^^b,h,36,0.0012770939018766185
^^b,i,891,0.03160807407144631
^^b,j,4383,0.15548618255347832
^^b,k,86,0.003050835432260811
^^b,l,2532,0.08982227109865551
^^b,m,25,8.868707651920962e-4
^^b,n,140,0.004966476285075739
^^b,o,2511,0.08907729965589414
^^b,p,3,1.0642449182305155e-4
^^b,r,7366,0.2613076022561992
^^b,s,216,0.007662563411259711
^^b,t,355,0.012593564865727765
^^b,u,2661,0.09439852424704671
^^b,v,103,0.0036539075525914362
^^b,y,602,0.021355848025825675
^^b,z,3,1.0642449182305155e-4
^^c,a,15,0.10135135135135136
^^c,d,2,0.013513513513513514
^^c,e,18,0.12162162162162163
^^c,g,7,0.0472972972972973
^^c,h,4,0.02702702702702703
^^c,i,35,0.23648648648648649
^^c,k,2,0.013513513513513514
^^c,o,25,0.16891891891891891
^^c,p,1,0.006756756756756757
^^c,r,3,0.02027027027027027
^^c,s,5,0.033783783783783786
^^c,u,28,0.1891891891891892
^^c,v,3,0.02027027027027027
^^d,a,2106,0.254071661237785
^^d,b,23,0.0027747617324164553
^^d,d,26,0.0031366871757751236
^^d,e,571,0.06888647605259983
^^d,f,12,0.0014477017734346724
^^d,g,22,0.002654119917963566
^^d,h,7,8.444927011702256e-4
^^d,i,551,0.06647363976354205
^^d,j,811,0.09784051152129328
^^d,k,7,8.444927011702256e-4
^^d,l,230,0.027747617324164555
^^d,m,14,0.0016889854023404512
^^d,n,173,0.02087103390034986
^^d,o,582,0.07021353601158162
^^d,p,23,0.0027747617324164553
^^d,r,1195,0.1441669682712028
^^d,s,63,0.00760043431053203
^^d,t,3,3.619254433586681e-4
^^d,u,784,0.09458318253106526
^^d,v,94,0.011340330558571601
^^d,y,992,0.11967667993726626
^^e,a,87,0.012634330525704328
^^e,b,24,0.0034853325588149867
^^e,d,53,0.007696776067383096
^^e,e,6,8.713331397037467e-4
^^e,f,33,0.004792332268370607
^^e,g,295,0.04284054603543421
^^e,h,13,0.001887888469358118
^^e,i,2026,0.29422015683996516
^^e,k,283,0.041097879756026724
^^e,l,1549,0.2249491722335173
^^e,m,90,0.013069997095556202
^^e,n,1004,0.14580307871042694
^^e,p,51,0.007406331687481847
^^e,r,614,0.08916642462968341
^^e,s,458,0.066511762997386
^^e,t,68,0.009875108916642464
^^e,u,2,2.904443799012489e-4
^^e,v,226,0.03282021492884113
^^e,x,1,1.4522218995062446e-4
^^e,y,3,4.3566656985187334e-4
^^f,a,1704,0.11375166889185581
^^f,b,11,7.343124165554072e-4
^^f,d,18,0.0012016021361815755
^^f,e,839,0.056008010680907876
^^f,f,15,0.0010013351134846463
^^f,g,15,0.0010013351134846463
^^f,h,7,4.6728971962616824e-4
^^f,i,2530,0.16889185580774366
^^f,j,1630,0.10881174899866489
^^f,k,12,8.010680907877169e-4
^^f,l,2898,0.19345794392523363
^^f,m,6,4.0053404539385846e-4
^^f,n,56,0.003738317757009346
^^f,o,2007,0.13397863818424566
^^f,r,1544,0.10307076101468625
^^f,s,42,0.002803738317757009
^^f,t,29,0.0019359145527369827
^^f,u,1387,0.09259012016021362
^^f,v,13,8.678237650200267e-4
^^f,y,217,0.014485981308411215
^^g,a,3733,0.1705500730994152
^^g,b,11,5.025584795321637e-4
^^g,d,49,0.0022386695906432747
^^g,e,1311,0.059895833333333336
^^g,f,9,4.1118421052631577e-4
^^g,g,44,0.002010233918128655
^^g,h,44,0.002010233918128655
^^g,i,932,0.04258040935672515
^^g,j,1990,0.09091739766081872
^^g,k,6,2.7412280701754384e-4
^^g,l,1121,0.051215277777777776
^^g,m,41,0.001873172514619883
^^g,n,76,0.003472222222222222
^^g,o,1406,0.0642361111111111
^^g,p,16,7.309941520467836e-4
^^g,r,7670,0.3504203216374269
^^g,s,396,0.018092105263157895
^^g,t,41,0.001873172514619883
^^g,u,2572,0.11750730994152046
^^g,v,122,0.005573830409356725
^^g,y,298,0.013614766081871345
^^h,a,7342,0.27120271867612294
^^h,b,109,0.004026300236406619
^^h,c,15,5.540780141843972e-4
^^h,d,34,0.0012559101654846336
^^h,e,6531,0.24124556737588654
^^h,f,16,5.91016548463357e-4
^^h,g,1367,0.05049497635933806
^^h,h,35,0.0012928486997635933
^^h,i,796,0.02940307328605201
^^h,j,836,0.0308806146572104
^^h,k,348,0.012854609929078014
^^h,l,420,0.01551418439716312
^^h,m,115,0.004247931442080378
^^h,n,262,0.00967789598108747
^^h,o,4443,0.16411790780141844
^^h,p,29,0.0010712174940898345
^^h,r,336,0.012411347517730497
^^h,s,168,0.0062056737588652485
^^h,t,50,0.0018469267139479906
^^h,u,2046,0.07557624113475177
^^h,v,539,0.019909869976359337
^^h,y,1235,0.04561908983451537
^^i,a,4,0.0014398848092152627
^^i,b,24,0.008639308855291577
^^i,c,3,0.0010799136069114472
^^i,d,58,0.02087832973362131
^^i,e,100,0.03599712023038157
^^i,f,5,0.0017998560115190785
^^i,g,158,0.05687544996400288
^^i,h,15,0.005399568034557235
^^i,i,23,0.00827933765298776
^^i,j,4,0.0014398848092152627
^^i,k,61,0.021958243340532757
^^i,l,324,0.11663066954643629
^^i,m,99,0.035637149028077755
^^i,n,1186,0.4269258459323254
^^i,o,1,3.599712023038157e-4
^^i,p,4,0.0014398848092152627
^^i,r,29,0.010439164866810655
^^i,s,390,0.14038876889848811
^^i,t,33,0.011879049676025918
^^i,u,6,0.0021598272138228943
^^i,v,251,0.09035277177825773
^^j,a,816,0.15463331438317227
^^j,b,12,0.0022740193291642978
^^j,d,28,0.0053060451013833615
^^j,e,1019,0.19310214136820164
^^j,f,9,0.0017055144968732233
^^j,g,48,0.009096077316657191
^^j,h,8,0.0015160128861095318
^^j,i,110,0.020845177184006063
^^j,j,1,1.8950161076369148e-4
^^j,k,37,0.0070115595982565854
^^j,l,43,0.008148569262838735
^^j,m,27,0.00511654349061967
^^j,n,114,0.02160318362706083
^^j,o,1565,0.2965700208451772
^^j,p,3,5.685048322910744e-4
^^j,r,324,0.061398521887436046
^^j,s,78,0.014781125639567936
^^j,t,60,0.01137009664582149
^^j,u,836,0.1584233465984461
^^j,v,78,0.014781125639567936
^^j,y,61,0.011559598256585181
^^k,a,4395,0.1528802003617643
^^k,b,14,4.8699039933212745e-4
^^k,d,15,5.217754278558508e-4
^^k,e,291,0.010122443300403506
^^k,f,15,5.217754278558508e-4
^^k,g,16,5.565604563795742e-4
^^k,h,3,1.0435508557117017e-4
^^k,i,1324,0.046055377765409765
^^k,j,3534,0.12293029080283846
^^k,k,28,9.739807986642549e-4
^^k,l,3688,0.12828718519549187
^^k,m,5,1.7392514261861693e-4
^^k,n,1188,0.04132461388618339
^^k,o,3488,0.12133017949074719
^^k,p,25,8.696257130930848e-4
^^k,r,4028,0.1401140948935578
^^k,s,266,0.00925281758731042
^^k,t,105,0.0036524279949909557
^^k,u,1035,0.03600250452205371
^^k,v,4646,0.16161124252121886
^^k,y,639,0.022227633226659247
^^l,a,6240,0.2894114373173786
^^l,b,93,0.0043133435369417
^^l,d,105,0.004869903993321274
^^l,e,2451,0.11367747321552804
^^l,f,61,0.002829182319929502
^^l,g,306,0.014192291637679143
^^l,h,38,0.001762441445201985
^^l,i,5820,0.2699318213440935
^^l,j,422,0.01957237604934836
^^l,k,470,0.021798617874866658
^^l,l,50,0.002319001901581559
^^l,m,74,0.003432122814340708
^^l,n,320,0.01484161217012198
^^l,o,1662,0.07708362320857103
^^l,p,40,0.0018552015212652474
^^l,r,84,0.0038959231946570196
^^l,s,195,0.009044107416168082
^^l,t,116,0.005380084411669217
^^l,u,1281,0.05941282871851955
^^l,v,381,0.017670794490051482
^^l,x,1,4.638003803163119e-5
^^l,y,1351,0.06265943138073374
^^m,a,3254,0.20905878573723097
^^m,b,34,0.0021843880501124318
^^m,c,7,4.4972695149373597e-4
^^m,d,32,0.0020558946353999357
^^m,e,2559,0.1644073241246386
^^m,f,6,3.8548024413748795e-4
^^m,g,81,0.005203983295856088
^^m,h,33,0.0021201413427561835
^^m,i,1888,0.12129778348859621
^^m,j,766,0.049212977834885964
^^m,k,156,0.010022486347574687
^^m,l,619,0.039768711853517505
^^m,m,24,0.0015419209765499518
^^m,n,160,0.01027947317699968
^^m,o,2726,0.17513652425313203
^^m,p,1,6.424670735624799e-5
^^m,r,598,0.0384195309990363
^^m,s,403,0.02589142306456794
^^m,t,42,0.0026983617089624155
^^m,u,911,0.05852875040154192
^^m,v,53,0.0034050754898811435
^^m,y,1210,0.07773851590106007
^^m,z,2,1.2849341471249598e-4
^^n,a,1403,0.13657159544436873
^^n,b,16,0.0015574807748466855
^^n,d,88,0.00856614426165677
^^n,e,2117,0.20607417502190206
^^n,f,5,4.867127421395892e-4
^^n,g,38,0.003699016840260878
^^n,h,13,0.001265453129562932
^^n,i,865,0.08420130439014893
^^n,j,402,0.03913170446802297
^^n,k,121,0.011778448359778058
^^n,l,80,0.007787403874233427
^^n,m,8,7.787403874233427e-4
^^n,n,66,0.006424608196242578
^^n,o,2771,0.26973620169376034
^^n,p,11,0.0010707680327070963
^^n,r,261,0.025406405139686557
^^n,s,133,0.012946558940913074
^^n,t,56,0.005451182711963399
^^n,u,365,0.03553003017619001
^^n,v,99,0.009636912294363866
^^n,y,1355,0.13189915311982867
^^o,a,219,0.03821322631303437
^^o,b,15,0.002617344268016053
^^o,d,281,0.04903158262083406
^^o,e,4,6.979584714709475e-4
^^o,f,64,0.01116733554353516
^^o,g,48,0.00837550165765137
^^o,h,40,0.006979584714709474
^^o,i,6,0.0010469377072064212
^^o,j,1,1.7448961786773688e-4
^^o,k,559,0.09753969638806491
^^o,l,1068,0.18635491188274297
^^o,m,281,0.04903158262083406
^^o,n,180,0.03140813121619264
^^o,p,413,0.07206421217937532
^^o,r,1122,0.19577735124760076
^^o,s,775,0.13522945384749607
^^o,t,465,0.08113767230849764
^^o,u,14,0.002442854650148316
^^o,v,172,0.03001221427325074
^^o,y,4,6.979584714709475e-4
^^p,a,456,0.10734463276836158
^^p,d,14,0.003295668549905838
^^p,e,883,0.20786252354048965
^^p,f,1,2.3540489642184556e-4
^^p,g,1,2.3540489642184556e-4
^^p,h,4,9.416195856873823e-4
^^p,i,594,0.13983050847457626
^^p,j,16,0.003766478342749529
^^p,l,542,0.1275894538606403
^^p,m,4,9.416195856873823e-4
^^p,n,7,0.001647834274952919
^^p,o,488,0.11487758945386065
^^p,p,13,0.0030602636534839923
^^p,r,703,0.16548964218455745
^^p,s,32,0.007532956685499058
^^p,t,8,0.0018832391713747645
^^p,u,381,0.08968926553672317
^^p,v,7,0.001647834274952919
^^p,y,94,0.022128060263653482
^^q,v,1,1
^^r,a,4146,0.2073
^^r,b,122,0.0061
^^r,d,632,0.0316
^^r,e,3154,0.1577
^^r,f,41,0.00205
^^r,g,94,0.0047
^^r,h,85,0.00425
^^r,i,1961,0.09805
^^r,j,134,0.0067
^^r,k,162,0.0081
^^r,l,138,0.0069
^^r,m,138,0.0069
^^r,n,850,0.0425
^^r,o,2910,0.1455
^^r,p,32,0.0016
^^r,r,377,0.01885
^^r,s,813,0.04065
^^r,t,212,0.0106
^^r,u,2162,0.1081
^^r,v,279,0.01395
^^r,y,1558,0.0779
^^s,a,4635,0.0781355360755226
^^s,b,160,0.0026972353337828725
^^s,c,14,2.3600809170600136e-4
^^s,d,96,0.0016183412002697235
^^s,e,2725,0.04593728927848955
^^s,f,28,4.720161834120027e-4
^^s,g,97,0.0016351989211058665
^^s,h,66,0.001112609575185435
^^s,i,1823,0.030731625084288606
^^s,j,1305,0.021999325691166555
^^s,k,12855,0.21670600134861767
^^s,l,2801,0.04721847606203641
^^s,m,2320,0.03910991233985165
^^s,n,1513,0.02550573162508429
^^s,o,2014,0.033951449763991906
^^s,p,1590,0.026803776129467296
^^s,r,1373,0.023145650708024275
^^s,s,149,0.0025118004045853
^^s,t,16556,0.27909642616318275
^^s,u,1576,0.026567768037761296
^^s,v,4703,0.0792818610923803
^^s,y,921,0.01552596089008766
^^t,a,1269,0.07201634413483911
^^t,b,14,7.94506554679076e-4
^^t,d,16,9.080074910618013e-4
^^t,e,1490,0.08455819760513024
^^t,f,33,0.0018727654503149652
^^t,g,64,0.0036320299642472052
^^t,h,66,0.0037455309006299304
^^t,i,964,0.05470745133647353
^^t,j,2158,0.12246751035696045
^^t,k,28,0.001589013109358152
^^t,l,61,0.0034617785596731173
^^t,m,323,0.018330401225810113
^^t,n,97,0.00550479541456217
^^t,o,3382,0.19193008342318824
^^t,p,3,1.7025140457408773e-4
^^t,r,4343,0.2464672833550877
^^t,s,33,0.0018727654503149652
^^t,t,61,0.0034617785596731173
^^t,u,1204,0.06832756370240055
^^t,v,1431,0.08120991998183985
^^t,y,581,0.03297202201918166
^^u,a,7,0.002192295646727216
^^u,b,31,0.009708737864077669
^^u,c,14,0.004384591293454432
^^u,d,44,0.013780144065142498
^^u,e,21,0.0065768869401816475
^^u,f,101,0.031631694331349824
^^u,g,112,0.035076730347635456
^^u,h,34,0.010648293141246476
^^u,i,10,0.0031318509238960224
^^u,j,1,3.1318509238960227e-4
^^u,k,86,0.026933917945505793
^^u,l,908,0.28437206388975883
^^u,m,21,0.0065768869401816475
^^u,n,266,0.0833072345756342
^^u,o,146,0.04572502348888193
^^u,p,71,0.02223614155966176
^^u,r,734,0.22987785781396805
^^u,s,82,0.025681177575947386
^^u,t,411,0.12871907297212654
^^u,v,93,0.02912621359223301
^^v,a,4199,0.2833715751113511
^^v,b,14,9.447968686732353e-4
^^v,d,43,0.0029018760966392225
^^v,e,4820,0.325280064786071
^^v,f,1,6.748549061951681e-5
^^v,g,318,0.021460386017006342
^^v,h,10,6.748549061951681e-4
^^v,i,2749,0.1855176137130517
^^v,j,18,0.0012147388311513024
^^v,k,44,0.0029693615872587393
^^v,l,253,0.01707382912673775
^^v,m,9,6.073694155756512e-4
^^v,n,30,0.002024564718585504
^^v,o,921,0.06215413686057498
^^v,p,1,6.748549061951681e-5
^^v,r,686,0.04629504656498853
^^v,s,161,0.010865163989742205
^^v,t,140,0.009447968686732353
